city,listing_id,bathrooms,price_per_sqft,build_year,url,price,bedrooms,state,longitude,zip_code,partial_bathrooms,street,address,latitude,house_type,state_code,sqft,neighborhood
New York,3000622178,3,0,1929,https://www.trulia.com/property/3000622178-1185-Park-Ave-4D-New-York-NY-10128,7750000,4,New York,-73.95312,10128,,Park Ave,"1185 Park Avenue #4D, New York, NY",40.784676,Coop,NY,,Upper East Side
New York,3032532435,3,0,,https://www.trulia.com/property/3032532435-20-E-68th-St-6BC-New-York-NY-10065,4700000,3,New York,-73.96771,10065,0,E 68th St,"20 East 68th Street #6BC, New York, NY",40.769146,Coop,NY,,Upper East Side
New York,3000616201,3,0,1927,https://www.trulia.com/property/3000616201-1130-Park-Ave-151-New-York-NY-10128,7250000,3,New York,-73.95522,10128,0,Park Ave,"1130 Park Avenue #151, New York, NY",40.78317,Coop,NY,,Upper East Side
New York,1095782844,2,0,2007,https://www.trulia.com/property/1095782844-15-Central-Park-W-2-E-New-York-NY-10023,7800000,2,New York,-73.98088,10023,,Central Park W,"15 Central Park West #2-E, New York, NY",40.769733,Condo,NY,,Upper West Side
New York,1083854867,6,0,,https://www.trulia.com/property/1083854867-111-E-29th-St-New-York-NY-10016,7995000,6,New York,-73.98272,10016,1,E 29th St,"111 East 29th Street, New York, NY",40.743805,Multi-Family Home,NY,,Kips Bay
New York,1083854866,6,0,,https://www.trulia.com/property/1083854866-113-E-29th-St-New-York-NY-10016,8995000,6,New York,-73.98266,10016,1,E 29th St,"113 East 29th Street, New York, NY",40.743782,Multi-Family Home,NY,,Kips Bay
New York,3009795186,2,0,1923,https://www.trulia.com/property/3009795186-1148-5th-Ave-11D-New-York-NY-10128,4450000,3,New York,-73.95556,10128,,5th Ave,"1148 5th Avenue #11D, New York, NY",40.787506,Coop,NY,,Upper East Side
New York,1074964362,3,0,1929,https://www.trulia.com/property/1074964362-1185-Park-Ave-3K-New-York-NY-10128,3995000,3,New York,-73.95312,10128,,Park Ave,"1185 Park Avenue #3K, New York, NY",40.784676,Coop,NY,,Upper East Side
New York,3134786307,5,0,,https://www.trulia.com/property/3134786307-1-E-End-Ave-67B-New-York-NY-10075,5750000,5,New York,-73.947586,10075,1,E End Ave,"1 East End Avenue #67B, New York, NY",40.77069,Coop,NY,,Upper East Side
New York,3120202919,2,0,1923,https://www.trulia.com/property/3120202919-1148-5th-Ave-2D-New-York-NY-10128,3995000,3,New York,-73.95556,10128,,5th Ave,"1148 5th Avenue #2D, New York, NY",40.787506,Coop,NY,,Upper East Side
