"year","quarter","state","city","code","immid_R","immid_A","immid_D","immid_P","other_R","other_A","other_D","other_P"
"2014","2","Iowa","Des Moines","DSM",111,108,15,232,NA,NA,NA,10
"2014","2","Kansas","Wichita","WIC",88,104,NA,186,NA,NA,NA,11
"2014","2","Kentucky","Louisville ","LOU",152,172,29,291,NA,NA,NA,10
"2014","2","Louisiana","New Orleans ","NOL",291,467,39,643,NA,15,NA,13
"2014","2","Maine","Portland ","POM",51,147,13,83,NA,NA,NA,NA
"2014","2","Maryland","Baltimore ","BAL",953,1105,105,2311,NA,27,NA,43
"2014","2","Massachusetts","Boston ","BOS",1003,960,133,2210,NA,19,NA,32
"2014","2","Massachusetts","Lawrence","LAW",358,390,63,819,NA,NA,NA,31
"2014","2","Michigan","Detroit ","DET",553,838,95,1348,NA,41,NA,201
"2014","2","Minnesota","St. Paul ","SPM",441,649,98,942,NA,19,NA,37
"2014","2","Missouri","Kansas City ","KAN",252,411,54,412,NA,NA,NA,30
"2014","2","Missouri","St. Louis ","STL",153,208,29,347,NA,NA,NA,18
"2014","2","Montana","Helena ","HEL",28,142,NA,62,NA,NA,NA,NA
"2014","2","Nebraska","Omaha ","OMA",111,233,16,155,NA,26,NA,NA
"2014","2","Nevada","Las Vegas ","LVG",521,588,42,849,NA,34,10,15
"2014","2","Nevada","Reno ","REN",65,121,15,120,NA,NA,NA,NA
"2014","2","New Hampshire","Manchester ","MAN",82,105,NA,168,NA,NA,NA,NA
"2014","2","New Jersey","Mount Laurel","MTL",376,409,43,723,NA,NA,NA,40
"2014","2","New Jersey","Newark ","NEW",1914,2447,165,4029,NA,58,NA,327
"2014","2","New Mexico","Albuquerque ","ABQ",109,162,11,189,NA,NA,NA,NA
"2014","2","New York","Albany ","ALB",90,114,14,241,NA,NA,NA,NA
"2014","2","New York","Buffalo ","BUF",153,256,25,386,NA,13,NA,NA
"2014","2","New York","Long Island","LNY",1058,1133,23,2603,NA,13,NA,125
"2014","2","New York","New York ","NYC",3478,5087,484,8374,NA,68,18,806
"2014","2","New York","Queens","QNS",1267,1002,49,3264,NA,NA,NA,225
"2014","2","North Carolina","Charlotte ","CLT",361,411,27,515,NA,11,NA,NA
"2014","2","North Carolina","Raleigh","RAL",346,461,60,744,NA,14,NA,16
"2014","2","Ohio","Cincinnati ","CIN",149,172,16,308,NA,NA,NA,NA
"2014","2","Ohio","Cleveland ","CLE",186,256,39,283,NA,NA,NA,NA
"2014","2","Ohio","Columbus","CLM",177,238,68,260,NA,NA,NA,NA
"2014","2","Oklahoma","Oklahoma City ","OKC",235,117,18,762,NA,NA,NA,48
"2014","2","Oregon","Portland ","POO",315,196,13,804,NA,11,NA,13
"2014","2","Pennsylvania","Philadelphia","PHI",836,1004,86,1941,NA,33,NA,13
"2014","2","Pennsylvania","Pittsburgh ","PIT",179,148,15,332,NA,10,NA,NA
"2014","2","Rhode Island","Providence ","PRO",151,229,17,273,NA,NA,NA,NA
"2014","2","South Carolina","Charleston ","CHL",205,339,65,433,NA,18,NA,NA
"2014","2","Tennessee","Memphis ","MEM",345,504,60,695,NA,32,NA,24
"2014","2","Texas","Dallas ","DAL",1447,1378,180,4563,NA,36,NA,231
"2014","2","Texas","El Paso ","ELP",476,646,65,655,NA,NA,NA,43
