city,listing_id,bathrooms,price_per_sqft,build_year,url,price,bedrooms,state,longitude,zip_code,partial_bathrooms,street,address,latitude,house_type,state_code,sqft,neighborhood
San Francisco,3212296015,1,0,1927,https://www.trulia.com/property/3212296015-260-Castro-St-San-Francisco-CA-94114,1995000,2,California,-122.43572,94114,,Castro St,"260 Castro Street, San Francisco, CA",37.764683,Single-Family Home,CA,,Buena Vista Park
San Francisco,3257326386,2,1780.4427,2010,https://www.trulia.com/property/3257326386-1-Hawthorne-St-PH25A-San-Francisco-CA-94105,2895000,2,California,-122.39887,94105,,Hawthorne St,"1 Hawthorne Street #PH25A, San Francisco, CA",37.78577,Condo,CA,1626,South Beach
San Francisco,3258066690,2,1236.1466,,https://www.trulia.com/property/3258066690-1000-3rd-St-621-San-Francisco-CA-94158,1450000,2,California,-122.38989,94158,,3rd St,"1000 3rd Street #621, San Francisco, CA",37.773434,Condo,CA,1173,Mission Bay
San Francisco,3258107867,4,0,1900,https://www.trulia.com/property/3258107867-2339-Bryant-St-San-Francisco-CA-94110,2995000,4,California,-122.40921,94110,,Bryant St,"2339 Bryant Street, San Francisco, CA",37.75699,Single-Family Home,CA,,Potrero Hill
San Francisco,3053240628,2,1156.9966,1996,https://www.trulia.com/property/3053240628-650-Delancey-St-416-San-Francisco-CA-94107,1695000,1,California,-122.38999,94107,0,Delancey St,"650 Delancey Street #416, San Francisco, CA",37.782578,Condo,CA,1465,South Beach
San Francisco,3258269318,2,0,1987,https://www.trulia.com/property/3258269318-70-Grand-View-Ter-San-Francisco-CA-94114,1899000,2,California,-122.441086,94114,,Grand View Ter,"70 Grand View Terrace, San Francisco, CA",37.75799,Condo,CA,,Castro
San Francisco,3257401767,2,1516.2455,2010,https://www.trulia.com/property/3257401767-1-Hawthorne-St-21F-San-Francisco-CA-94105,2100000,2,California,-122.39887,94105,,Hawthorne St,"1 Hawthorne Street #21F, San Francisco, CA",37.78577,Condo,CA,1385,South Beach
San Francisco,3257881943,2,2343.6975,1906,https://www.trulia.com/property/3257881943-380-Cumberland-St-San-Francisco-CA-94114,2789000,2,California,-122.43204,94114,,Cumberland St,"380 Cumberland Street, San Francisco, CA",37.7589,Single-Family Home,CA,1190,Castro
San Francisco,3060574063,2,913.19244,2007,https://www.trulia.com/property/3060574063-950-Corbett-Ave-2-San-Francisco-CA-94131,1599000,3,California,-122.44373,94131,,Corbett Ave,"950 Corbett Avenue #2, San Francisco, CA",37.75183,Condo,CA,1751,Twin Peaks
San Francisco,3257846401,3,1004.02954,,https://www.trulia.com/property/3257846401-114-Russ-St-San-Francisco-CA-94103,1495000,4,California,-122.40809,94103,,Russ St,"114 Russ Street, San Francisco, CA",37.778522,Condo,CA,1489,SoMa
San Francisco,3257628984,2,947.7459,2001,https://www.trulia.com/property/3257628984-425-14th-St-5-San-Francisco-CA-94103,1850000,3,California,-122.422806,94103,,14th St,"425 14th Street #5, San Francisco, CA",37.767838,Condo,CA,1952,Mission Dolores
San Francisco,3257823425,2,1186.1796,,https://www.trulia.com/property/3257823425-300-Beale-St-603-San-Francisco-CA-94105,2695000,2,California,-122.39258,94105,1,Beale St,"300 Beale Street #603, San Francisco, CA",37.78814,Condo,CA,2272,South Beach
San Francisco,3257949242,3,676.8707,,https://www.trulia.com/property/3257949242-Summit-800-Lot-6-Unit-7-18-Summit-Way-San-Francisco-CA-94132,1393000,3,California,-122.47548,94132,1,Unit 7 18 Summit Way,"Lot 6 Unit 7 18 Summit Way, San Francisco, CA",37.71512,Single-Family Home,CA,2058,Stonestown Apartments
San Francisco,3043317241,2,1213.3142,1996,https://www.trulia.com/property/3043317241-650-Delancey-St-304-San-Francisco-CA-94107,1695000,1,California,-122.38999,94107,0,Delancey St,"650 Delancey Street #304, San Francisco, CA",37.782578,Condo,CA,1397,South Beach
San Francisco,3096756842,2,1034.4214,2004,https://www.trulia.com/property/3096756842-250-King-St-800-San-Francisco-CA-94107,1288889,2,California,-122.39316,94107,,King St,"250 King Street #800, San Francisco, CA",37.777374,Condo,CA,1246,Mission Bay
San Francisco,3257840902,2,1325.3011,2016,https://www.trulia.com/property/3257840902-690-Market-St-902-San-Francisco-CA-94114,3300000,2,California,-122.40323,94114,,Market St,"690 Market Street #902, San Francisco, CA",37.788246,Condo,CA,2490,Downtown
San Francisco,3257395188,2,1514.8064,2008,https://www.trulia.com/property/3257395188-301-Main-St-27H-San-Francisco-CA-94105,1995000,2,California,-122.39097,94105,,Main St,"301 Main Street #27H, San Francisco, CA",37.789375,Condo,CA,1317,South Beach
San Francisco,3235249458,1,1320,1929,https://www.trulia.com/property/3235249458-1250-Jones-St-1103-San-Francisco-CA-94109,1650000,1,California,-122.41405,94109,0,Jones St,"1250 Jones Street #1103, San Francisco, CA",37.79307,Single-Family Home,CA,1250,Nob Hill
San Francisco,3258001134,1,1189.0547,,https://www.trulia.com/property/3258001134-72-Townsend-St-708-San-Francisco-CA-94107,1195000,1,California,-122.39035,94107,,Townsend St,"72 Townsend Street #708, San Francisco, CA",37.781387,Condo,CA,1005,South Beach
San Francisco,3052542875,2,988.7937,2004,https://www.trulia.com/property/3052542875-200-Brannan-St-412-San-Francisco-CA-94107,1500000,2,California,-122.39071,94107,,Brannan St,"200 Brannan Street #412, San Francisco, CA",37.7836,Condo,CA,1517,South Beach
San Francisco,3241829592,2,2137.5623,2016,https://www.trulia.com/property/3241829592-338-Main-St-23C-San-Francisco-CA-94105,2999000,2,California,-122.39157,94105,,Main St,"338 Main Street #23C, San Francisco, CA",37.788944,Condo,CA,1403,South Beach
San Francisco,3258181804,2,1273.9044,2015,https://www.trulia.com/property/3258181804-318-Main-St-3I-San-Francisco-CA-94105,1279000,1,California,-122.391716,94105,,Main St,"318 Main Street #3I, San Francisco, CA",37.789066,Condo,CA,1004,South Beach
San Francisco,3223716314,2,1203.3445,2007,https://www.trulia.com/property/3223716314-55-Page-St-820-San-Francisco-CA-94102,1799000,2,California,-122.421875,94102,,Page St,"55 Page Street #820, San Francisco, CA",37.77389,Condo,CA,1495,Hayes Valley
San Francisco,3238797061,2,1323.6267,,https://www.trulia.com/property/3238797061-870-N-Point-St-202-San-Francisco-CA-94109,2000000,3,California,-122.42154,94109,,N Point St,"870 North Point Street #202, San Francisco, CA",37.80586,Condo,CA,1511,Russian Hill
San Francisco,3258061069,1,1494.9495,,https://www.trulia.com/property/3258061069-110-Channel-St-531-San-Francisco-CA-94158,740000,,California,-122.3908,94158,,Channel St,"110 Channel Street #531, San Francisco, CA",37.7746,Condo,CA,495,Mission Bay
San Francisco,3258064195,1,1204.1613,,https://www.trulia.com/property/3258064195-110-Channel-St-629-San-Francisco-CA-94158,926000,1,California,-122.3908,94158,,Channel St,"110 Channel Street #629, San Francisco, CA",37.7746,Condo,CA,769,Mission Bay
San Francisco,3258186573,2,969.25134,1908,https://www.trulia.com/property/3258186573-41-Collingwood-St-San-Francisco-CA-94114,1450000,3,California,-122.436005,94114,,Collingwood St,"41 Collingwood Street, San Francisco, CA",37.761547,Condo,CA,1496,Castro
San Francisco,3258041657,2,1067.3624,,https://www.trulia.com/property/3258041657-631-Folsom-St-8C-San-Francisco-CA-94107,1125000,2,California,-122.39687,94107,,Folsom St,"631 Folsom Street #8C, San Francisco, CA",37.784714,Condo,CA,1054,South Beach
San Francisco,3257945637,1,1129.0322,1930,https://www.trulia.com/property/3257945637-1101-Green-St-202-San-Francisco-CA-94109,1050000,1,California,-122.4174,94109,,Green St,"1101 Green Street #202, San Francisco, CA",37.798233,Condo,CA,930,Russian Hill
San Francisco,3258168466,2,1310.0592,,https://www.trulia.com/property/3258168466-Rowan-338-Potrero-Ave-509-San-Francisco-CA-94103,1107000,2,California,-122.40766,94103,,Potrero Ave,"338 Potrero Avenue #509, San Francisco, CA",37.76524,Condo,CA,845,Potrero Hill
San Francisco,3257860857,1,1318.4713,,https://www.trulia.com/property/3257860857-72-Townsend-St-603-San-Francisco-CA-94107,1035000,1,California,-122.39035,94107,,Townsend St,"72 Townsend Street #603, San Francisco, CA",37.781387,Condo,CA,785,South Beach
San Francisco,3257835334,1,865.82996,1978,https://www.trulia.com/property/3257835334-507-Crestmont-Dr-San-Francisco-CA-94131,942023,,California,-122.45967,94131,,Crestmont Dr,"507 Crestmont Drive, San Francisco, CA",37.759056,Condo,CA,1088,Forest Knolls
San Francisco,3257880781,2,1016.7665,2009,https://www.trulia.com/property/3257880781-989-20th-St-468-San-Francisco-CA-94107,849000,1,California,-122.39086,94107,,20th St,"989 20th Street #468, San Francisco, CA",37.75967,Condo,CA,835,Central Waterfront
San Francisco,3257844202,2,1220.6897,,https://www.trulia.com/property/3257844202-112-Russ-St-San-Francisco-CA-94103,885000,2,California,-122.40811,94103,,Russ St,"112 Russ Street, San Francisco, CA",37.778446,Condo,CA,725,SoMa
San Francisco,3257428944,1,1663.3334,2014,https://www.trulia.com/property/3257428944-3418-26th-St-1-San-Francisco-CA-94110,499000,,California,-122.41898,94110,,26th St,"3418 26th Street #1, San Francisco, CA",37.749203,Condo,CA,300,Mission
