address,price,floor_size,bathrooms,bedrooms,est_mortgage,zprice,latitude,longitude,FACTS,FEATURES,APPLIANCES INCLUDED,ROOM TYPES,CONSTRUCTION,ADDITIONAL FEATURES,OTHER
Zone: 10
Detached/Attached: Sd
Style: Other
LIST TYPE: P
Dryer: 0
# Fireplaces: 0
Washer: 0
Basement/Subfloor: Full
# Kitchens: 4
County: Queens","
Floor size: 6,250 sqft
Zillow Home ID: 2096541772
"

"32-44 47th St,
Long Island City, NY 11103","$1,240,000 ","2,700 sqft",4 baths,5 beds,"$4,889 ","$1,293,836 ",40755365,-73914565,,"
Parking: Garage - Detached, 2 spaces

","
Refrigerator

","
Dining room

","
Stories: 4
Structure type: Other
Unit count: 2","
Attic: Y
Class: Res
Fuel: Gas
Heat: Steam
Last Status Change: NEW
Picture: Y
STATUS: A
Detached/Attached: Att
Den/Family Room: Y
Office: Y
Zone: 11
Driveway: Pty
Style: Duplex
Dryer: 0
# Fireplaces: 0
# Kitchens: 2
Washer: 0
Basement/Subfloor: Finished, Full Bathroom, Huge Closets, 3 Separate Entrances
County: Queens","
Floor size: 2,700 sqft
Last remodel year: 1930
Parcel #: 007220056
Zillow Home ID: 31942303
"

"9004 187th Pl # 1,
Hollis, NY 11423","$799,000 ","3,200 sqft",3 baths,6 beds,"$3,150 ","$936,315 ",40711980,-73772480,,"


",,,,,"
Floor size: 3,200 sqft
Zillow Home ID: 2095965328
"

"65 W End Ave # 2,
Brooklyn, NY 11235","$995,000 ","1,455 sqft",2 baths,2 beds,"$3,923 ","$974,235 ",40580100,-73953300,,"
Elevator

","
Dishwasher

",,"
Unit count: 5

",,"
Floor size: 1,455 sqft
Zillow Home ID: 2096333466
"

"10 W 66th St APT 22F,
New York, NY 10023","$3,400,000 ","2,150 sqft",3 baths,4 beds,"$13,405 ",(1/24),40772400,-73979800,,"
Doorman
Elevator
Patio
View: City, Park
","
Dishwasher

",,"
Room count: 7
Stories: 32
Unit count: 288","
North South and West exposures
Balcony Full city view Full park view Full skyline view Floors - herringbone Light - excellent Marble bath Walk in closets Great closet space Dishwasher
","
Floor size: 2,150 sqft
Zillow Home ID: 2099010779
"

"140 Sinclair Ave,
Staten Island, NY 10312","$574,000 ","1,176 sqft",1 bath,3 beds,"$2,240 ",(1/13),40547514,-74184825,,"
1176 sqft basement
Fenced Yard
Lawn
Parking: Off street",,,"
Exterior material: Brick, Vinyl
Roof type: Shake Shingle
Stories: 1
Structure type: Ranch
",,"
Floor size: 1,176 sqft
Last remodel year: 1965
Parcel #: 062350027
Zillow Home ID: 32364528
"

"2918 Brighton 6th St APT 3A,
Brooklyn, NY 11235","$629,000 ","1,170 sqft",2 baths,3 beds,"$2,455 ","$892,877 ",40579860,-73962420,,"
Cable Ready
Ceiling Fan
Controlled Access
Disability Access
Elevator
Finished basement
Flooring: Carpet, Hardwood, Laminate, Tile
Gated Entry
Intercom
Jetted Tub
Patio
Security System
Sprinkler System
Storage
Transportation
View: City, Territorial
Wired","
Dishwasher
Dryer
Freezer
Garbage disposal
Microwave
Range / Oven
Refrigerator
Trash compactor
Washer","
Breakfast nook
Dining room
Family room
Laundry room
Master bath
Office
Walk-in closet","
Exterior material: Brick
Room count: 6
Stories: 6
Structure type: Modern
",,"
Floor size: 1,170 sqft
Unit floor #: 3
Zillow Home ID: 2098637682"

"25312 Brattle Ave,
Little Neck, NY 11362","$925,000 ","1,616 sqft",2 baths,3 beds,"$3,647 ","$951,980 ",40767926,-73729379,,"
400 sqft basement
Attic
Barbecue
Cable Ready
Double Pane/Storm Windows
Fenced Yard
Finished basement
Fireplace
Flooring: Hardwood
Garden
Jetted Tub
Lawn
Parking: Garage - Attached, 1 space, 400 sqft garage
Patio
Porch
Security System
Sprinkler System
Storage
Transportation
View: City
Wet Bar
Wired","
Dishwasher
Dryer
Microwave
Refrigerator
Washer","
Dining room
Family room
Laundry room
Master bath
Office","
Exterior material: Brick
Roof type: Shake Shingle
Stories: 2
Structure type: Colonial
Unit count: 1","
Detached/Attached: Det
Driveway: Pvt
Eat In Kitchen: Y
Heat: Hw
Picture: Y
STATUS: A
Water: Public
A/C: 1
Attic: Y
Sewer: Y
Wood Floors: Y
Fuel: Gas
Last Status Change: PC
Zone: 12
LIST TYPE: P
# Fireplaces: 0
# Kitchens: 1
Inground Sprinklers: Yes
County: Queens
CORNER PROPERTY: Y","
Floor size: 1,616 sqft
Last remodel year: 2007
Laundry: In Unit
Zillow Home ID: 2096862656
"

"19 Peter St # A,
Staten Island, NY 10314","$299,000 ","1,496 sqft",2 baths,2 beds,"$1,146 ","$295,751 ",40620872,-74151527,,"
Barbecue
Lawn
Pool",,,"
Exterior material: Vinyl
Roof type: Shake Shingle
Stories: 2
Unit count: 1
",,"
Floor size: 1,496 sqft
Heating: Gas
Parcel #: 014951180
Zillow Home ID: 32302752
"

"3085 Vernon Blvd # B,
Astoria, NY 11102","$1,380,000 ","1,200 sqft",2 baths,3 beds,"$5,441 ",,40769523,-73934562,,"
View: Water
Waterfront
",,,"
Stories: 0
Structure type: Other
Unit count: 0",,"
Floor size: 1,200 sqft
Zillow Home ID: 2096201731
"

"11220 72nd Dr APT A47,
Forest Hills, NY 11375","$723,000 ","1,400 sqft",2 baths,3 beds,"$2,821 ",(12/9),40720343,-73837304,,"
Doorman
Garden
Storage
","
Dryer
Refrigerator
Washer","
Dining room

","
Roof type: Other
Room count: 6
Stories: 6
Structure type: Other
Unit count: 221","
Detached: Det
Fuel: Oil
Picture: Y
STATUS: A
W: Y
Heat: Steam
Wood Floors: Y
County: Q
Class: Con
Kitchen Type: Eik
Pets: Y
Basement: None
Style: Co-Op
Zone: 10
Sewer: Inc
Last Status Change: NEW
# Fireplaces: 0
Heating: Included
MBR 1ST FLOOR: Y
PET TYPE SRCH: .01.02.
PARKING: W","
Floor size: 1,400 sqft
Unit floor #: 4
Zillow Home ID: 2105921529"

"2590 Heath Ave,
Bronx, NY 10463",Price Unknown,800 sqft,#NAME?,Studio,,"$348,038 ",40868820,-73906880,,"


",,,"
Structure type: Other

","
Property Type: Land
Status: Active
Village: None
Water Description: Municipal
Post Office: Bronx
Garbage: Public
Sewer Description: Municipal","
Floor size: 800 sqft
Parcel #: 032370060
Zillow Home ID: 29786713"

"135 Oceana Dr E # PH2D,
Brooklyn, NY 11235","$3,449,000 ","2,800 sqft",3 baths,3 beds,"$13,598 ","$1,531,082 ",40577190,-73957570,,"
Deck
Elevator
Fitness Center
Flooring: Hardwood, Tile
Sauna
Storage
Waterfront","
Dishwasher
Dryer
Freezer
Microwave
Range / Oven
Refrigerator","
Breakfast nook
Dining room
Family room
Laundry room
Library
Master bath
Office
Recreation room","
Exterior material: Brick
Stories: 7
Structure type: Split level
Unit count: 120
",,"
Floor size: 2,800 sqft
Heating: Gas
Unit floor #: 7
Zillow Home ID: 2096294887
"

"6309 108th St,
Forest Hills, NY 11375","$489,000 ","1,250 sqft",1 bath,2 beds,"$1,875 ",(2/6),40734640,-73850480,"
Cooperative
130 days on Zillow
Views since listing: 11,139
All time views: 11,139
56 shoppers saved this home
HOA Fee: $811/mo
Parking: Garage - Attached
Price/sqft: $391","
Elevator
Flooring: Hardwood
Gated Entry
Intercom
Transportation","
Dishwasher
Freezer
Garbage disposal
Range / Oven
Refrigerator","
Breakfast nook
Dining room
Family room
Office
Pantry
Walk-in closet","
Exterior material: Brick, Cement concrete
Stories: 7
",,"
Floor size: 1,250 sqft
Heating: Gas
Zillow Home ID: 2096848724"

"14250 122nd Ave,
Jamaica, NY 11436","$459,000 ","1,240 sqft",3 baths,4 beds,"$1,760 ","$414,287 ",40674980,-73796295,,"
Fenced Yard
Garden
Lawn
Parking: Off street
Transportation","
Dishwasher

",,"
Exterior material: Brick
Stories: 3
Structure type: Colonial
Unit count: 1
",,"
Floor size: 1,240 sqft
Last remodel year: 2016
Parcel #: 120380033
Zillow Home ID: 32182950
"

"15822 Powells Cove Blvd,
Flushing, NY 11357","$705,000 ",#NAME?,2 baths,2 beds,"$2,751 ",(1/5),40794015,-73802470,,"

","
Dryer
Refrigerator
Washer","
Dining room

","
Stories: 0

","
Den/Family Room: Y
Eat In Kitchen: Y
Last Status Change: EXT
Picture: Y
STATUS: A
Water: Public
Heat: Steam
Sewer: Y
Fuel: Gas
Detached/Attached: Att
Office: Y
A/C: 3
Zone: 12
Driveway: Pty
Style: Townhouse
LIST TYPE: P
# Fireplaces: 0
# Kitchens: 1
County: Queens","
Laundry: In Unit
Parcel #: 045540063
Zillow Home ID: 32028399"

"166 Perry St # 5,
New York, NY 10014","$4,500,000 ","1,521 sqft",3 baths,2 beds,"$17,741 ","$2,980,735 ",40734663,-74009241,,"
Doorman
Elevator
",,,"
Structure type: Modern

",,"
Floor size: 1,521 sqft
Zillow Home ID: 2097641004
"

"1679 E 19th St # 2B,
Brooklyn, NY 11229","$899,000 ","1,530 sqft",2 baths,3 beds,"$3,544 ","$928,648 ",40609490,-73954440,"
Condo
Built in 1920
45 days on Zillow
Views since listing: 2,357
All time views: 2,358
12 shoppers saved this home
HOA Fee: $321/mo
Laundry: In Unit
Parking: Carport
Price/sqft: $588
MLS #: 611038","


","
Dishwasher
Dryer
Washer",,"
Unit count: 6

",,"
Floor size: 1,530 sqft
Zillow Home ID: 2096793730
"

"97 Rutland Rd,
Brooklyn, NY 11225","$1,825,000 ","3,856 sqft",3 baths,7 beds,"$7,195 ",(12/13),40659175,-73957365,,"
Fireplace
Flooring: Hardwood, Tile
Garden
Patio
Unfinished basement","
Refrigerator

","
Dining room
Mud room
Walk-in closet","
Stories: 4
Structure type: Other
Unit count: 1","
Den: Oil
Picture: Y
STATUS: A
Attic: Y
Heat: Steam
Sewer: Y
Wood Floors: Y
TOUR FLAG: Y
Detached: Att
Zone: 13
Style: Other
Last Status Change: NEW
# Kitchens: 2
County: Brooklyn","
Floor size: 3,856 sqft
Last remodel year: 1901
Parcel #: 050340063
Zillow Home ID: 30664827
"

"9706 Avenue K,
Brooklyn, NY 11236","$659,999 ","1,760 sqft",2 baths,5 beds,,"$642,873 ",40640375,-73896525,,"


","
Refrigerator

","
Dining room

","
Stories: 1
Unit count: 2
","
Class: Res
Driveway: Pvt
Eat In Kitchen: Y
Fuel: Gas
Heat: Steam
Picture: Y
STATUS: A
Detached/Attached: Att
Last Status Change: PC
Style: 2 Story
Zone: 13
# Fireplaces: 0
# Kitchens: 2
MBR 1ST FLOOR: Y
County: Brooklyn","
Floor size: 1,760 sqft
Last remodel year: 1955
Parcel #: 082430039
Zillow Home ID: 30776308
"

"12708 Sutter Ave,
South Ozone Park, NY 11420","$949,999 ",#NAME?,4 baths,6 beds,"$3,745 ","$858,554 ",40674187,-73819100,,"

",,,,,"
Zillow Home ID: 2096430884

"

"2147 59th St,
Brooklyn, NY 11204","$1,099,000 ","2,226 sqft",2 baths,3 beds,"$4,333 ",(1/21),40618080,-73978670,,"


",,,"
Stories: 2
Unit count: 1
",,"
Floor size: 2,226 sqft
Last remodel year: 1925
Parcel #: 055080059
Zillow Home ID: 30679887
"

"118-04 233st,
Cambria Heights, NY 11411","$575,000 ",#NAME?,3 baths,4 beds,"$2,244 ","$525,255 ",40693091,-73736764,,"

",,,,,"
Zillow Home ID: 2095804157

"

"18333 Dunlop Ave,
Jamaica, NY 11412","$455,000 ",#NAME?,2 baths,4 beds,"$1,744 ","$505,821 ",40697434,-73762446,,"

",,,,,"
Zillow Home ID: 2095983760

"

"123 Washington St APT 50H,
New York, NY 10006","$1,250,000 ",606 sqft,1 bath,1 bed,"$4,928 ","$1,197,529 ",40709156,-74013710,"
Condo
Built in 2010
264 days on Zillow
Views since listing: 19,074
All time views: 20,345
123 shoppers saved this home
HOA Fee: $892/mo
Cooling: Central
Heating: Forced air
Laundry: In Unit
Parking: Carport
Last sold: Apr 2012 for $1,024,318
Price/sqft: $2,063
MLS #: 74a1c55f76c6c352a08af8e7f79eca697a3f9d19","
Deck
Doorman
Elevator
Flooring: Hardwood, Tile
Patio
View: City, Water
","
Dishwasher
Dryer
Washer",,"
Exterior material: Cement concrete
Room count: 3
Structure type: Loft
Unit count: 223
","
Concierge
fios_available
live_in_super
lounge
media_room
pets
recreation_facilities
roofdeck
sublet
washer_dryer","
Floor size: 606 sqft
Heating: Gas
Parcel #: 00531326
Unit floor #: 50
Zillow Home ID: 112512406"

"13019 135th Pl,
Jamaica, NY 11420","$429,999 ",840 sqft,2 baths,2 beds,"$1,648 ","$382,886 ",40670570,-73802350,,"

",,,"
Stories: 2

",,"
Floor size: 840 sqft
Last remodel year: 2016
Parcel #: 117810269
Zillow Home ID: 32177541
"

"161 W 133rd St APT 1A,
New York, NY 10030","$549,000 ",682 sqft,2 baths,Studio,"$2,142 ","$591,953 ",40813816,-73943603,,"
Flooring: Hardwood
Intercom
","
Dishwasher
Dryer
Microwave
Range / Oven
Refrigerator
Washer",,"
Stories: 5
Unit count: 12
",,"
Floor size: 682 sqft
Parcel #: 19181002
Zillow Home ID: 97533259"

"355 Kings Hwy APT 5F,
Brooklyn, NY 11223","$979,000 ","1,867 sqft",3 baths,3 beds,"$3,860 ","$990,743 ",40605015,-73977037,,"
Barbecue
Cable Ready
Deck
Elevator
Fenced Yard
Fireplace
Flooring: Hardwood
Hot Tub/Spa
Intercom
Patio
Security System
Skylight
Sprinkler System
Unfinished basement
View: City, Territorial","
Dishwasher
Dryer
Washer","
Dining room
Laundry room
Master bath
Recreation room
Walk-in closet","
Stories: 6
Unit count: 28
",,"
Floor size: 1,867 sqft
Heating: Gas
Parcel #: 066531040
Unit floor #: 5
Zillow Home ID: 68314454"

"1758 Dekalb Ave,
Ridgewood, NY 11385","$1,449,000 ","2,544 sqft",4 baths,8 beds,"$5,713 ","$1,141,265 ",40707050,-73916470,"
Baths: 3 full, 1 half
Lot: 2,543 sqft
Multi Family
Built in 1930
133 days on Zillow
Views since listing: 4,241
All time views: 4,241
27 shoppers saved this home
Price/sqft: $570","
1240 sqft basement
Finished basement
Flooring: Hardwood
Parking: Garage - Detached, 500 sqft garage","
Dryer
Refrigerator
Washer","
Dining room

","
Exterior material: Brick
Room count: 11
Stories: 0
Unit count: 3
","
Class: Res
Eat In Kitchen: Y
Picture: Y
STATUS: A
Fuel: Oil
Heat: Hw
Last Status Change: PC
Zone: 10
Detached/Attached: Sd
Style: 2 Story
Driveway: Pty
# Fireplaces: 0
# Kitchens: 3
Basement/Subfloor: Full Finish
County: Queens","
Floor size: 2,544 sqft
Heating: Oil
Laundry: In Unit
Zillow Home ID: 2096878460
"

"21532 106th Ave,
Jamaica, NY 11429","$549,000 ","1,488 sqft",3 baths,4 beds,"$2,142 ","$453,562 ",40710980,-73742300,,"
Attic
Cable Ready
Finished basement
Flooring: Hardwood
High Speed Internet Ready
Parking: Carport, Off street, On street
Storage","
Range / Oven
Refrigerator
","
Dining room
Family room
Mud room
Office
Recreation room
Sun room","
Room count: 15
Stories: 3
Unit count: 1","
Living room

","
Floor size: 1,488 sqft
Last remodel year: 2017
Parcel #: 111010031
Zillow Home ID: 32160998
"

"65 W End Ave # 3,
Brooklyn, NY 11235","$1,375,000 ","1,825 sqft",2 baths,3 beds,"$5,421 ","$1,325,989 ",40580100,-73953300,,"
Elevator

","
Dishwasher

",,"
Unit count: 0

",,"
Floor size: 1,825 sqft
Zillow Home ID: 2096334175
"

"1974 E 36th St # 01,
Brooklyn, NY 11234","$689,000 ",#NAME?,3 baths,3 beds,"$2,689 ","$727,222 ",40610490,-73932320,,"

",,,,,"
Last remodel year: 2016
Zillow Home ID: 2097132389
"

"861 Woodward Ave,
Ridgewood, NY 11385","$1,750,000 ","3,417 sqft",4 baths,12 beds,"$6,899 ","$1,142,445 ",40702916,-73902088,,"


",,,"
Unit count: 4

","
Class: Res
Eat In Kitchen: Y
Fuel: Gas
Last Status Change: NEW
Picture: Y
STATUS: A
Heat: Hw
Detached: Att
Zone: 10
Style: 2 Story
Dryer: 0
# Fireplaces: 0
Washer: 0
Basement: Full Basement
# Kitchens: 4
County: Queens","
Floor size: 3,417 sqft
Zillow Home ID: 2098781654
"

"130-23 135pl,
Queens, NY 11436","$429,999 ",#NAME?,2 baths,2 beds,"$1,648 ",(12/10),40671077,-73802451,,"


",,,,,"
Last remodel year: 2016
Zillow Home ID: 2096583444
"

"129 Yetman Ave,
Staten Island, NY 10307","$520,000 ","1,760 sqft",2 baths,3 beds,"$1,993 ",(1/31),40513180,-74246205,,"
Attic
Barbecue
Cable Ready
Ceiling Fan
Fenced Yard
Flooring: Carpet, Hardwood, Laminate, Tile
Garden
Lawn
Parking: Carport, Off street
Porch
Transportation
Unfinished basement","
Dishwasher
Range / Oven
","
Breakfast nook
Dining room
Laundry room
Pantry
Walk-in closet","
Exterior material: Vinyl
Roof type: Asphalt
Room count: 7
Stories: 2
Structure type: Colonial",,"
Floor size: 1,760 sqft
Heating: Gas
Last remodel year: 1905
Parcel #: 080240027
Zillow Home ID: 32377217"

"1907 Lacombe Ave,
Bronx, NY 10473","$435,000 ","1,448 sqft",3 baths,3 beds,"$1,668 ","$400,063 ",40815794,-73857515,,"

",,,"
Stories: 3

",,"
Floor size: 1,448 sqft
Last remodel year: 1930
Parcel #: 035270006
Zillow Home ID: 29792011
"

"646 E 53rd St,
Brooklyn, NY 11203","$749,000 ","1,408 sqft",3 baths,6 beds,"$2,923 ",(1/31),40643595,-73926915,,"
Barbecue
Fenced Yard
Garden
Parking: Garage - Detached, Off street, On street, 2 spaces",,,"
Stories: 3
Unit count: 2
",,"
Floor size: 1,408 sqft
Last remodel year: 2017
Parcel #: 047730022
Zillow Home ID: 30656244
"

"7025 Yellowstone Blvd APT 16E,
Forest Hills, NY 11375","$439,000 ",#NAME?,#NAME?,1 bed,"$1,683 ","$366,559 ",40722157,-73849274,,"
Elevator
Pool
Storage
","
Dishwasher

",,"
Stories: 0
Structure type: Other
Unit count: 563","
A/C: Cac
Detached/Attached: Det
Heat: Hw
Picture: Y
STATUS: A
Fuel: Gas
Class: Con
Pets: Y
Smoking: Y
Style: Co-Op
Zone: 10
Kitchen Type: Combo
Last Status Change: NEW
County: Queens
MBR 1ST FLOOR: Y
PET TYPE SRCH: .01.","
Parcel #: 03236003500070025000016E
Zillow Home ID: 80391112
"

"18331 Dunlop Ave,
Jamaica, NY 11412","$466,000 ","1,694 sqft",2 baths,4 beds,"$1,786 ","$428,416 ",40702794,-73772280,,"
Parking: Garage - Attached
","
Dryer
Refrigerator
","
Dining room

","
Roof type: Other
Room count: 8
Stories: 1
Structure type: Other
","
Driveway: Pvt
Eat In Kitchen: Y
Picture: Y
STATUS: A
W: Y
Fuel: Gas
County: Q
Detached: Att
A: Y
Zone: 14
Heat: Rad
Last Status Change: NEW
Style: Townhouse
# Fireplaces: 0
# Kitchens: 2
Taxes: 3077.00
MBR 1ST FLOOR: Y","
Floor size: 1,694 sqft
Last remodel year: 1945
Laundry: In Unit
Parcel #: 103470092
Zillow Home ID: 32142645"

"658 Sapphire St,
Brooklyn, NY 11208","$759,000 ","3,465 sqft",5 baths,8 beds,"$2,962 ","$743,706 ",40664249,-73856055,,"
Cable Ready
Finished basement
Flooring: Hardwood
Intercom
Parking: Garage - Attached, Off street
Patio
Skylight
Transportation","
Refrigerator

","
Dining room

","
Exterior material: Brick
Stories: 3
Structure type: Colonial
Unit count: 2
","
Sewer Type: Municipal
Water Source Type: Municipal
Garage Type: Yes
HOA or Building Fee: 0.00
","
Floor size: 3,465 sqft
Last remodel year: 1988
Parcel #: 045580099
Zillow Home ID: 30650165
"

"12008 Springfield Blvd,
Jamaica, NY 11411","$469,000 ","1,402 sqft",2 baths,3 beds,,"$442,294 ",40691085,-73746800,,"


",,,"
Stories: 2
Unit count: 1
",,"
Floor size: 1,402 sqft
Last remodel year: 1950
Parcel #: 126940042
Zillow Home ID: 32195490
"

"2632 Atlantic Ave # 0,
Brooklyn, NY 11207","$5,500,000 ",#NAME?,#NAME?,#NAME?,"$21,684 ","$682,580 ",40675610,-73897350,,"


",,,,,"
Zillow Home ID: 2098380459

"

"14819 Linden Blvd,
Jamaica, NY 11436","$429,000 ","1,500 sqft",3 baths,3 beds,"$1,645 ","$397,267 ",40686270,-73794825,,"

",,,"
Stories: 2

",,"
Floor size: 1,500 sqft
Last remodel year: 1940
Parcel #: 119660024
Zillow Home ID: 32180658
"

"8120 19th Ave,
Brooklyn, NY 11214","$1,695,000 ","3,956 sqft",5 baths,9 beds,"$6,683 ","$1,666,880 ",40608475,-73998030,,"
Cable Ready
Ceiling Fan
Deck
Flooring: Hardwood
Intercom
Parking: Garage - Attached, 1 space
Partial basement
Transportation","
Washer

","
Dining room

","
Exterior material: Brick
Stories: 2
Structure type: Contemporary
Unit count: 3
","
Living room

","
Floor size: 3,956 sqft
Last remodel year: 1930
Laundry: In Unit
Parcel #: 062960040
Zillow Home ID: 30709571"

"1423 83rd St,
Brooklyn, NY 11228","$1,125,000 ","1,938 sqft",3 baths,4 beds,"$4,435 ",(11/30),40614239,-74009100,,"
Fenced Yard
Garden
Lawn
Parking: Carport
Patio","
Dryer
Washer
",,"
Exterior material: Brick
Stories: 2
Unit count: 2",,"
Floor size: 1,938 sqft
Last remodel year: 1950
Laundry: In Unit
Parcel #: 063040072
Zillow Home ID: 30709876"

"838 E 221st St # 1,
Bronx, NY 10467","$449,000 ",#NAME?,3 baths,4 beds,"$1,721 ","$478,338 ",40883520,-73857750,,"
Barbecue
Deck
Fenced Yard
Finished basement
Flooring: Hardwood
Mother-in-Law Apartment
Parking: Garage - Attached, 1 space
Patio
Transportation","
Dishwasher
Microwave
Range / Oven
Refrigerator
","
Breakfast nook
Dining room
Family room
Laundry room
Office
Recreation room","
Exterior material: Brick
Room count: 11
Stories: 3
Structure type: Colonial
",,"
Heating: Gas
Last remodel year: 2016
Zillow Home ID: 2096548913"

"19140 113th Rd,
Jamaica, NY 11412","$489,999 ","1,560 sqft",2 baths,3 beds,"$1,878 ","$490,699 ",40698840,-73761120,,"
Parking: Garage - Detached, 300 sqft garage
","
Refrigerator

","
Dining room

","
Exterior material: Vinyl, Wood
Roof type: Shake Shingle
Stories: 3
Structure type: Colonial
","
Detached/Attached: Det
Driveway: Pvt
Eat In Kitchen: Y
Picture: Y
STATUS: A
Water: Public
Attic: Y
Heat: Steam
Sewer: Y
Fuel: Gas
Last Status Change: PC
Zone: 15
# Fireplaces: 0
# Kitchens: 1
Dryer: 0
Washer: 0
County: Queens","
Floor size: 1,560 sqft
Last remodel year: 2016
Parcel #: 109880025
Zillow Home ID: 32157550
"

"65 W End Ave # 1,
Brooklyn, NY 11235","$525,000 ",790 sqft,1 bath,1 bed,"$2,013 ","$521,422 ",40580100,-73953300,,"
Elevator

","
Dishwasher

",,"
Unit count: 5

",,"
Floor size: 790 sqft
Zillow Home ID: 2096333465
"

"12088 131st St,
Jamaica, NY 11420","$599,000 ","1,184 sqft",2 baths,Studio,"$2,338 ","$471,983 ",40672394,-73807745,,"

",,,"
Stories: 2
Unit count: 2
",,"
Floor size: 1,184 sqft
Last remodel year: 1925
Parcel #: 117540101
Zillow Home ID: 32176596
"

"2621 Atlantic Ave,
Brooklyn, NY 11207","$1,700,000 ","2,340 sqft",#NAME?,Studio,"$6,702 ","$582,854 ",40675965,-73897690,,"


",,,"
Stories: 3

",,"
Floor size: 2,340 sqft
Parcel #: 036690040
Zillow Home ID: 30633936"

"1361 E 101st St,
Brooklyn, NY 11236","$679,000 ","1,416 sqft",2 baths,4 beds,"$2,650 ","$640,817 ",40638100,-73888855,,"
Parking: Garage - Attached

",,,"
Stories: 4
Unit count: 1
",,"
Floor size: 1,416 sqft
Last remodel year: 1960
Parcel #: 082850018
Zillow Home ID: 30778581
"

"1361 -01 East 101st St,
Brooklyn, NY 11234","$679,000 ",#NAME?,2 baths,4 beds,"$2,650 ","$520,170 ",40638422,-73889526,,"


",,,,,"
Zillow Home ID: 2096524628

"

"1581 Pacific St,
Brooklyn, NY 11213","$1,299,000 ","3,456 sqft",4 baths,4 beds,"$5,121 ","$1,375,214 ",40677255,-73938335,"
Lot: 1,799 sqft
Multi Family
Built in 1910
59 days on Zillow
Views since listing: 7,967
All time views: 8,618
64 shoppers saved this home
Last sold: May 2007 for $662,500
Price/sqft: $376
MLS #: S9330241650","
Fireplace
Flooring: Hardwood
Unfinished basement
","
Refrigerator

","
Dining room

","
Stories: 0
Structure type: Contemporary
Unit count: 4","
Class: Res
Fuel: Gas
Heat: Steam
Last Status Change: NEW
Picture: Y
STATUS: A
Detached: Att
Zone: 13
Dryer: 0
# Fireplaces: 0
Washer: 0
# Kitchens: 4
Basement: Kitchen
Basement: Full Bathroom
Basement: 1 Bedroom
County: Brooklyn
Basement: Dr","
Floor size: 3,456 sqft
Last remodel year: 1910
Parcel #: 013340073
Zillow Home ID: 30595652
"

"33 W 56th St APT 4A,
New York, NY 10019","$2,990,000 ","1,198 sqft",2 baths,1 bed,"$11,788 ","$2,077,688 ",40763244,-73976142,,"
Doorman
Elevator
Fitness Center
Furnished
","
Dishwasher
Dryer
Washer",,"
Stories: 17
Unit count: 47
",,"
Floor size: 1,198 sqft
Parcel #: 12721003
Zillow Home ID: 97539206"

"11529 121st St,
South Ozone Park, NY 11420","$439,000 ",#NAME?,2 baths,2 beds,"$1,683 ","$468,858 ",40676660,-73817510,,"
Ceiling Fan
Fenced Yard
Finished basement
Flooring: Hardwood, Tile
Parking: Garage - Attached, Off street","
Range / Oven
Refrigerator
","
Laundry room

","
Exterior material: Brick
Stories: 2
Structure type: Contemporary",,"
Heating: Gas
Zillow Home ID: 2097796884
"

"2685 E 22nd St # 2B,
Brooklyn, NY 11235","$675,000 ","1,044 sqft",2 baths,2 beds,"$2,634 ","$645,687 ",40586600,-73946800,,"


",,,"
Unit count: 1

",,"
Floor size: 1,044 sqft
Zillow Home ID: 2096501529
"

"2619 Atlantic Ave,
Brooklyn, NY 11207","$2,100,000 ","3,528 sqft",#NAME?,#NAME?,"$8,279 ","$702,969 ",40675955,-73897775,,"
Fireplace

",,,"
Stories: 3
Unit count: 3
",,"
Floor size: 3,528 sqft
Lot depth: 81 ft
Lot width: 28 ft
Parcel #: 036690001
Zillow Home ID: 30633933"

"2623 Atlantic Ave,
Brooklyn, NY 11207","$1,700,000 ","2,700 sqft",#NAME?,Studio,"$6,702 ","$652,747 ",40675970,-73897629,,"
Flooring: Hardwood
Transportation
","
Range / Oven
Refrigerator
",,"
Stories: 3
Unit count: 3
","
Business Center
Granite countertop
Stainless steel appliances","
Floor size: 2,700 sqft
Lot depth: 89 ft
Lot width: 18 ft
Parcel #: 036690039
Zillow Home ID: 30633935"

"67 Brighton 11th St,
Brooklyn, NY 11235","$1,100,000 ","1,880 sqft",3 baths,5 beds,"$4,337 ","$965,084 ",40581280,-73956640,,"
Attic
Barbecue
Cable Ready
Ceiling Fan
Deck
Fenced Yard
Fireplace
Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl, Tile
Garden
Gated Entry
Greenhouse
Intercom
Jetted Tub
Lawn
Mother-in-Law Apartment
Parking: Carport, Garage - Attached, Off street, On street, 2 spaces
Patio
Porch
Security System
Skylight
Sprinkler System
Storage
Transportation
Vaulted Ceiling
View: City, Territorial
Wired","
Dishwasher
Dryer
Freezer
Garbage disposal
Microwave
Range / Oven
Refrigerator
Trash compactor
Washer","
Breakfast nook
Dining room
Family room
Laundry room
Library
Master bath
Mud room
Office
Recreation room
Solarium / Atrium
Sun room
Walk-in closet
Workshop","
Exterior material: Brick, Cement concrete, Stucco
