address,price,floor_size,bathrooms,bedrooms,est_mortgage,zprice,latitude,longitude,FACTS,FEATURES,APPLIANCES INCLUDED,ROOM TYPES,CONSTRUCTION,ADDITIONAL FEATURES,OTHER,street,barough,state,zip
"1885 Lexington Ave APT 7B, New York, NY 10035",699000.0,,1.0,2.0,2728.0,890576.0,40.799533,-73.94065,,"955 sqft basement, Cable Ready, Controlled Access, Doorman, Double Pane/Storm Windows, Elevator, Flooring: Hardwood, Intercom, Security System, Storage, Transportation, View: City, Wired","Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Washer",,"Room count: 4, Stories: 7","washer dryer, virtual doorman, roofdeck, private garden plot","Parcel #: 1645110201885000000007B, Zillow Home ID: 119909039",1885 Lexington Ave APT 7B,New York,NY,10035
"1464 66th St APT 1, Brooklyn, NY 11219",1600000.0,,5.0,6.0,6308.0,1887349.0,40.62336,-73.99899,,"Parking: On street, View: City",,,"Exterior material: Brick, Cement concrete, Roof type: Built up, Stories: 3, Unit count: 5",,Zillow Home ID: 2097073366,1464 66th St APT 1,Brooklyn,NY,11219
"2642 E 27th St, Brooklyn, NY 11235",719000.0,1600.0,2.0,3.0,2806.0,734699.0,40.588165,-73.942765,,"Fenced Yard, Garden, Parking: On street",,,"Exterior material: Stucco, Roof type: Shake Shingle, Stories: 2, Unit count: 1",,"Floor size: 1,600 sqft, Last remodel year: 1910, Parcel #: 074710023, Zillow Home ID: 30750028",2642 E 27th St,Brooklyn,NY,11235
"671 47th St APT 4A, Brooklyn, NY 11220",430000.0,825.0,1.0,2.0,1648.0,453340.0,40.644542,-74.004364,,Storage,,,"Stories: 4, Unit count: 16",,"Floor size: 825 sqft, Parcel #: 00758004800671000000004A, Unit floor #: 1, Zillow Home ID: 79709677",671 47th St APT 4A,Brooklyn,NY,11220
"2925 W 5th St APT 2B, Brooklyn, NY 11224",325000.0,1025.0,1.0,2.0,1246.0,821039.0,40.5777,-73.9719,,Storage,,,Unit count: 528,,"Floor size: 1,025 sqft, Zillow Home ID: 2100158147",2925 W 5th St APT 2B,Brooklyn,NY,11224
"77 Fulton St APT 4D, New York, NY 10038",1250000.0,,1.0,2.0,4928.0,130.0,40.7093,-74.0036,,"Doorman, Elevator, Storage",Dishwasher,,,,Zillow Home ID: 2100555273,77 Fulton St APT 4D,New York,NY,10038
"458 Neptune Ave APT 10B, Brooklyn, NY 11224",399000.0,950.0,1.0,2.0,1530.0,826163.0,40.5789,-73.9711,,"Barbecue, Elevator, Fitness Center, Patio, Storage, View: City",,,"Exterior material: Brick, Stories: 23, Unit count: 1642",,"Floor size: 950 sqft, Unit floor #: 10, Zillow Home ID: 2095842064",458 Neptune Ave APT 10B,Brooklyn,NY,11224
"1145 E 10th St, Brooklyn, NY 11230",1400000.0,2242.0,4.0,6.0,5520.0,127.0,40.62111,-73.965195,,,,,Stories: 2,,"Floor size: 2,242 sqft, Last remodel year: 1930, Parcel #: 065360066, Zillow Home ID: 30716817",1145 E 10th St,Brooklyn,NY,11230
"1721 Menahan St, Ridgewood, NY 11385",1900000.0,4875.0,6.0,18.0,7491.0,1163210.0,40.70393,-73.91129,,,,,Unit count: 6,,"Floor size: 4,875 sqft, Zillow Home ID: 2097248474",1721 Menahan St,Ridgewood,NY,11385
"3298 Amboy Rd, Staten Island, NY 10306",449000.0,960.0,2.0,3.0,1721.0,131.0,40.56037,-74.134665,,"960 sqft basement, Barbecue, Deck, Fenced Yard, Lawn, Parking: Carport, Off street, 8 spaces, Patio, Porch",,,"Exterior material: Brick, Stone, Wood, Roof type: Shake Shingle, Stories: 1, Structure type: Ranch",,"Floor size: 960 sqft, Last remodel year: 1955, Parcel #: 049640016, Zillow Home ID: 32344466",3298 Amboy Rd,Staten Island,NY,10306
"116 28th Ave, Brooklyn, NY 11214",1200000.0,3200.0,5.0,4.0,4731.0,1421094.0,40.58821,-73.986935,,"1000 sqft basement, Barbecue, Cable Ready, Ceiling Fan, Deck, Double Pane/Storm Windows, Fenced Yard, Finished basement, Fireplace, Flooring: Hardwood, Tile, Furnished, Intercom, Jetted Tub, Parking: On street, Pool, Sauna, Security System, Skylight, Storage, Transportation, Wired","Dishwasher, Dryer, Freezer, Microwave, Range / Oven, Refrigerator, Washer","Dining room, Family room, Laundry room, Master bath, Pantry, Walk-in closet","Exterior material: Brick, Roof type: Shake Shingle, Stories: 2, Structure type: Other, Unit count: 3","heated pool, outdoor stainless steel kitchen, security and camera system, multi zoned central air, custom built deck and steel beam support.","Floor size: 3,200 sqft, Last remodel year: 2004, Laundry: In Unit, Parcel #: 069150016, Zillow Home ID: 30731535",116 28th Ave,Brooklyn,NY,11214
"1221 E 223rd St, Bronx, NY 10466",399000.0,960.0,3.0,4.0,1530.0,344524.0,40.8815,-73.846235,,"Deck, Fenced Yard, Patio, Transportation",,,"Exterior material: Shingle, Wood products, Stories: 2, Structure type: Other",,"Floor size: 960 sqft, Last remodel year: 1955, Parcel #: 048980035, Zillow Home ID: 29834242",1221 E 223rd St,Bronx,NY,10466
"458 Neptune Ave APT 9L, Brooklyn, NY 11224",399000.0,1000.0,1.0,2.0,1530.0,851321.0,40.5789,-73.9711,,"Elevator, Storage, Waterfront",,,Unit count: 572,,"Floor size: 1,000 sqft, Zillow Home ID: 2095965038",458 Neptune Ave APT 9L,Brooklyn,NY,11224
"9910 216th St # 1, Queens Village, NY 11429",469000.0,,3.0,3.0,1798.0,522823.0,40.7129,-73.7429,,,,,,,"Last remodel year: 2016, Zillow Home ID: 2096060275",9910 216th St # 1,Queens Village,NY,11429
"13902 Lakewood Ave # 000, Jamaica, NY 11435",420000.0,,3.0,4.0,1610.0,475064.0,40.6862,-73.8047,,"Parking: Carport, Off street",,,,,Zillow Home ID: 2095994682,13902 Lakewood Ave # 000,Jamaica,NY,11435
"6660 80th St APT 109, Flushing, NY 11379",549000.0,1300.0,2.0,2.0,2142.0,563214.0,40.714287,-73.871767,"Condo, Built in 1985, 220 days on Zillow, Views since listing: 14,507, All time views: 14,582, 49 shoppers saved this home, HOA Fee: $422/mo, Parking: Off street, Last sold: Sep 2000 for $150,000, Price/sqft: $422","Finished basement, Flooring: Tile, Intercom, Security System","Range / Oven, Refrigerator","Dining room, Family room, Master bath","Exterior material: Brick, Stories: 1, Unit count: 1",,"Floor size: 1,300 sqft, Parcel #: 030701013, Zillow Home ID: 31998556",6660 80th St APT 109,Flushing,NY,11379
"10755 164th St, Jamaica, NY 11433",439000.0,1212.0,3.0,4.0,1683.0,461246.0,40.697225,-73.790345,,"Barbecue, Fenced Yard, Garden, Parking: On street",Refrigerator,Dining room,"Exterior material: Stucco, Stories: 2, Structure type: Colonial","Detached/Attached: Det, Eat In Kitchen: Y, Heat: Hw, Picture: Y, STATUS: A, Fuel: Gas, Zone: 14, Last Status Change: NEW, # Fireplaces: 0, # Kitchens: 1, County: Queens, MBR 1ST FLOOR: Y","Floor size: 1,212 sqft, Last remodel year: 2016, Parcel #: 101670004, Zillow Home ID: 32138805",10755 164th St,Jamaica,NY,11433
"15135 84th St FL 5, Howard Beach, NY 11414",235000.0,750.0,1.0,1.0,921.0,351311.0,40.6695,-73.8488,,Elevator,Dishwasher,,Stories: 5,"HOA or Building Fee: 0.00, Appliance Oven: yes, Floor Number of Unit: 5, Building Smoking Allowed: yes","Floor size: 750 sqft, Unit floor #: 5, Zillow Home ID: 2096056101",15135 84th St FL 5,Howard Beach,NY,11414
"278 Bradley Ave, Staten Island, NY 10314",449000.0,960.0,1.0,2.0,1721.0,435736.0,40.60456,-74.131914,,"400 sqft basement, Cable Ready, Ceiling Fan, Deck, Double Pane/Storm Windows, Fenced Yard, Flooring: Hardwood, Tile, Garden, Lawn, Parking: Off street, Partial basement, Transportation, View: Mountain","Dishwasher, Dryer, Range / Oven, Refrigerator, Washer",,"Exterior material: Vinyl, Room count: 4, Stories: 2, Structure type: Colonial, Unit count: 1",,"Floor size: 960 sqft, Heating: Gas, Last remodel year: 2012, Laundry: In Unit, Parcel #: 007740104, Zillow Home ID: 32291275",278 Bradley Ave,Staten Island,NY,10314
"10444 91st Ave, Richmond Hill, NY 11418",595000.0,,3.0,4.0,2322.0,788605.0,40.6931,-73.8406,,,,,,,Zillow Home ID: 2096638245,10444 91st Ave,Richmond Hill,NY,11418
"458 Neptune Ave # 6, Brooklyn, NY 11224",360000.0,1000.0,1.0,2.0,1380.0,846673.0,40.5789,-73.9711,,"Elevator, Waterfront",,,Unit count: 572,,"Floor size: 1,000 sqft, Zillow Home ID: 2097893838",458 Neptune Ave # 6,Brooklyn,NY,11224
"16018 121st Ave, Jamaica, NY 11434",759000.0,,5.0,6.0,2962.0,702449.0,40.673235,-73.775238,,,,,,,Zillow Home ID: 2098998941,16018 121st Ave,Jamaica,NY,11434
"2809 E 28th St # 3C, Brooklyn, NY 11235",629000.0,1475.0,3.0,3.0,2455.0,637822.0,40.584787,-73.940832,,"Attic, Cable Ready, Deck, Double Pane/Storm Windows, Flooring: Hardwood, Tile, Hot Tub/Spa, Intercom, Jetted Tub, Patio, Sauna, Skylight, Storage, Transportation, Vaulted Ceiling, View: City, Water, Waterfront, Wet Bar, Wired","Dishwasher, Dryer, Microwave, Range / Oven, Refrigerator, Trash compactor, Washer",,"Exterior material: Brick, Stories: 2, Structure type: Modern, Unit count: 9","Borough: Brooklyn, A/C Unit, Dishwasher, Dryer, Laundry Area, Microwave, Refrigerator, Stove, Washer, Window Treatments, Housing Certificate Y/N: Yes, Property Type: Condo, Region: Brooklyn, UtilitiesIncluded: Parking","Floor size: 1,475 sqft, Parcel #: 087921009, Zillow Home ID: 62649422",2809 E 28th St # 3C,Brooklyn,NY,11235
"2001 Palmetto St, Ridgewood, NY 11385",2398000.0,6250.0,5.0,12.0,9454.0,1164356.0,40.706086,-73.904559,,1875 sqft basement,Refrigerator,Dining room,"Stories: 0, Unit count: 4","Class: Res, Eat In Kitchen: Y, Fuel: Gas, Heat: Steam, Last Status Change: NEW, Picture: Y, STATUS: A, Zone: 10, Detached/Attached: Sd, Style: Other, LIST TYPE: P, Dryer: 0, # Fireplaces: 0, Washer: 0, Basement/Subfloor: Full, # Kitchens: 4, County: Queens","Floor size: 6,250 sqft, Zillow Home ID: 2096541772",2001 Palmetto St,Ridgewood,NY,11385
