"state","city","code","immid_R.2015.1","immid_A.2015.1","immid_D.2015.1","immid_P.2015.1","other_R.2015.1","other_A.2015.1","other_D.2015.1","other_P.2015.1","immid_R.2015.2","immid_A.2015.2","immid_D.2015.2","immid_P.2015.2","other_R.2015.2","other_A.2015.2","other_D.2015.2","other_P.2015.2","immid_R.2015.3","immid_A.2015.3","immid_D.2015.3","immid_P.2015.3","other_R.2015.3","other_A.2015.3","other_D.2015.3","other_P.2015.3","immid_R.2015.4","immid_A.2015.4","immid_D.2015.4","immid_P.2015.4","other_R.2015.4","other_A.2015.4","other_D.2015.4","other_P.2015.4","immid_R.2016.1","immid_A.2016.1","immid_D.2016.1","immid_P.2016.1","other_R.2016.1","other_A.2016.1","other_D.2016.1","other_P.2016.1","immid_R.2016.2","immid_A.2016.2","immid_D.2016.2","immid_P.2016.2","other_R.2016.2","other_A.2016.2","other_D.2016.2","other_P.2016.2","immid_R.2016.3","immid_A.2016.3","immid_D.2016.3","immid_P.2016.3","other_R.2016.3","other_A.2016.3","other_D.2016.3","other_P.2016.3","immid_R.2016.4","immid_A.2016.4","immid_D.2016.4","immid_P.2016.4","other_R.2016.4","other_A.2016.4","other_D.2016.4","other_P.2016.4"
"Florida","Fort Myers","OFM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,NA,903,NA,NA,NA,10
"Florida","Oakland Park","OKL","1,039",772,86,2507,NA,12,12,67,1154,1020,105,2563,NA,10,NA,69,1256,828,119,2775,4,9,4,77,1133,1673,130,2234,NA,31,NA,80,1146,802,84,2549,NA,16,NA,41,1250,987,81,2845,NA,13,15,31,1516,645,90,3835,NA,NA,NA,36,1320,443,80,4390,NA,10,NA,28
"Florida","Orlando ","ORL","764",469,74,2352,NA,NA,NA,60,754,903,125,2075,NA,10,NA,65,889,787,106,2159,1,5,1,62,908,944,96,2099,NA,NA,NA,61,882,591,62,2725,NA,NA,NA,107,871,975,89,2647,NA,25,NA,97,1128,806,81,3015,NA,NA,NA,93,1004,674,92,3492,NA,18,NA,74
"Florida","TAM","TAM","717",620,70,2132,NA,21,NA,39,706,692,51,2180,NA,NA,NA,61,833,1003,105,2022,NA,10,1,93,816,814,124,2164,NA,16,NA,123,775,780,52,2129,NA,11,NA,NA,802,905,74,2077,NA,NA,NA,NA,941,659,53,2438,NA,NA,NA,NA,833,453,47,2424,NA,NA,NA,NA
"Florida","West Palm Beach","WPB","516",435,66,1355,NA,20,NA,20,600,504,70,1451,NA,14,NA,NA,609,595,78,1534,1,11,32,5,570,792,55,1401,NA,NA,NA,NA,618,643,44,1364,NA,14,NA,16,604,583,66,1402,NA,11,NA,23,767,591,65,1642,NA,NA,NA,117,739,766,88,1613,NA,NA,NA,137
"Georgia","Atlanta ","ATL","1,591",1243,137,4081,NA,28,NA,99,1481,1428,174,3948,NA,33,NA,67,1740,1149,129,4236,6,32,2,56,1774,1566,87,4401,NA,25,NA,40,1636,1527,98,4190,NA,47,NA,159,1702,1631,91,4370,NA,38,NA,134,2082,1737,177,4817,NA,22,NA,117,2157,1946,133,5026,NA,48,NA,75
"Hawaii","Honolulu ","HHW","249",222,29,673,NA,NA,NA,NA,252,294,37,588,NA,NA,NA,NA,265,261,15,562,NA,3,NA,2,258,282,33,477,NA,NA,NA,NA,229,232,12,437,NA,NA,NA,NA,264,192,21,471,NA,NA,NA,NA,276,197,26,513,NA,NA,NA,NA,242,231,32,515,NA,10,NA,NA
"Idaho","Boise ","BOI","96",119,NA,142,NA,NA,NA,NA,78,170,NA,217,NA,NA,NA,NA,78,520,12,245,NA,3,NA,3,88,468,NA,353,NA,NA,NA,NA,97,283,NA,431,NA,NA,NA,NA,78,405,NA,377,NA,NA,NA,NA,109,366,NA,246,NA,NA,NA,NA,101,414,NA,206,NA,NA,NA,NA
"Illinois","Chicago ","CHI","2,234",1299,90,7582,NA,43,NA,440,2015,2021,138,7555,NA,43,NA,410,2341,2345,162,7179,3,48,7,336,2447,1956,117,6843,NA,55,NA,276,2334,1856,99,6711,NA,61,NA,317,2382,2229,186,6183,NA,29,NA,294,2589,2205,155,6105,NA,43,NA,247,2635,1920,139,6223,NA,58,NA,191
"Indiana","Indianapolis ","INP","295",319,49,664,NA,NA,NA,10,285,352,48,595,NA,NA,NA,NA,312,333,44,638,NA,4,2,7,322,381,31,637,NA,NA,NA,NA,319,359,21,655,NA,NA,NA,NA,318,413,24,597,NA,NA,NA,NA,367,299,23,701,NA,NA,NA,NA,412,394,57,797,NA,NA,NA,NA
"Iowa","Des Moines","DSM","138",42,NA,300,NA,NA,NA,NA,125,114,NA,336,NA,NA,NA,10,117,163,11,292,2,NA,NA,3,119,110,15,302,NA,NA,NA,NA,125,106,11,314,NA,NA,NA,NA,115,51,NA,375,NA,NA,NA,NA,138,83,13,415,NA,NA,NA,13,129,57,NA,499,NA,NA,NA,14
"Kansas","Wichita","WIC","122",106,12,298,NA,NA,NA,NA,102,131,NA,255,NA,NA,NA,NA,138,140,8,263,NA,2,NA,6,133,120,NA,290,NA,NA,NA,NA,146,112,NA,303,NA,NA,NA,NA,105,190,NA,216,NA,NA,NA,NA,165,78,NA,326,NA,NA,NA,NA,162,118,NA,394,NA,NA,NA,NA
"Kentucky","Louisville ","LOU","142",170,32,432,NA,12,NA,NA,164,135,30,452,NA,NA,NA,NA,184,127,26,456,NA,9,2,2,186,221,24,465,NA,NA,NA,NA,185,233,24,399,NA,NA,NA,NA,173,176,38,353,NA,NA,NA,13,219,130,34,423,NA,NA,NA,10,171,169,23,418,NA,NA,NA,NA
"Louisiana","New Orleans ","NOL","318",254,17,744,NA,NA,NA,NA,333,327,28,725,NA,NA,NA,NA,384,409,35,689,1,11,NA,1,345,493,42,541,NA,NA,NA,NA,311,371,38,647,NA,NA,NA,NA,340,355,56,585,NA,NA,NA,NA,379,200,38,776,NA,NA,NA,NA,338,326,26,782,NA,NA,NA,NA
"Maine","Portland ","POM","64",53,11,93,NA,NA,NA,NA,52,47,NA,121,NA,NA,NA,NA,68,243,10,154,NA,NA,NA,NA,55,315,NA,191,NA,NA,NA,NA,57,214,NA,159,NA,NA,NA,NA,60,190,NA,144,NA,NA,NA,NA,48,269,NA,143,NA,NA,NA,NA,62,316,11,158,NA,NA,NA,NA
"Maryland","Baltimore ","BAL","1,054",593,53,2815,NA,16,NA,15,1095,499,71,3327,NA,NA,NA,NA,1156,617,53,3784,1,10,1,20,1170,880,82,3969,NA,13,NA,12,1124,914,64,3241,NA,NA,NA,180,1137,683,48,3560,NA,NA,NA,210,1340,618,31,3707,NA,13,NA,212,1272,562,43,4280,NA,NA,NA,236
"Massachusetts","Boston ","BOS","1,195",767,61,2720,NA,16,NA,NA,1079,683,54,3119,NA,NA,NA,14,1252,663,24,3608,2,8,NA,15,1297,638,33,3787,NA,15,NA,56,1240,1122,92,3803,NA,NA,NA,98,1252,1119,58,3980,NA,NA,NA,124,1401,1142,57,4264,NA,11,NA,148,1430,1371,134,4130,NA,16,NA,157
"Massachusetts","Lawrence","LAW","431",346,30,1093,NA,NA,NA,11,349,319,33,1120,NA,NA,NA,NA,439,168,29,1455,1,8,1,1,432,314,25,1415,NA,11,NA,NA,461,419,51,974,NA,NA,NA,50,453,376,42,988,NA,NA,NA,46,496,293,40,1152,NA,NA,NA,40,474,482,71,1102,NA,NA,NA,44
"Michigan","Detroit ","DET","608",432,78,1681,NA,NA,NA,415,553,575,61,1714,NA,17,NA,400,591,526,62,1749,NA,19,5,353,638,393,58,2037,NA,27,NA,323,646,868,52,1945,NA,38,NA,316,586,1065,70,1475,NA,62,NA,251,652,942,65,1408,NA,51,NA,202,744,969,100,1403,NA,27,NA,175
"Minnesota","St. Paul ","SPM","544",385,40,1482,NA,NA,NA,11,509,343,45,1587,NA,NA,NA,NA,455,401,66,1493,NA,4,1,22,512,595,42,1205,NA,NA,NA,24,522,316,28,1314,NA,NA,NA,20,508,344,36,1420,NA,NA,NA,18,633,301,24,1696,NA,NA,NA,17,568,79,20,2121,NA,NA,NA,17
"Missouri","Kansas City ","KAN","311",251,37,659,NA,NA,NA,NA,266,257,20,656,NA,NA,NA,10,306,390,34,663,NA,NA,NA,9,290,609,25,524,NA,NA,NA,10,283,541,21,517,NA,NA,NA,NA,311,613,12,481,NA,NA,NA,11,392,514,18,602,NA,NA,NA,18,422,592,13,733,NA,NA,NA,NA
"Missouri","St. Louis ","STL","164",109,18,470,NA,NA,NA,NA,140,162,16,481,NA,NA,NA,NA,162,196,9,516,NA,2,NA,4,161,203,12,553,NA,NA,NA,NA,153,121,14,506,NA,NA,NA,NA,166,35,NA,638,NA,NA,NA,NA,188,68,NA,792,NA,NA,NA,NA,188,49,NA,938,NA,NA,NA,NA
"Montana","Helena ","HEL","32",75,NA,61,NA,NA,NA,NA,36,101,NA,107,NA,NA,NA,NA,39,212,2,97,1,2,NA,1,46,158,NA,97,NA,NA,NA,NA,49,210,NA,199,NA,NA,NA,NA,38,246,NA,83,NA,NA,NA,NA,39,80,NA,118,NA,NA,NA,NA,34,189,NA,199,NA,NA,NA,NA
"Nebraska","Omaha ","OMA","137",274,20,318,NA,NA,NA,NA,119,284,14,300,NA,NA,NA,NA,148,373,68,387,1,9,7,20,154,477,41,308,NA,19,NA,NA,143,491,40,679,NA,NA,NA,NA,145,439,38,506,NA,NA,NA,NA,156,476,42,352,NA,12,NA,NA,125,308,46,494,NA,NA,NA,NA
"Nevada","Las Vegas ","LVG","567",497,56,1070,NA,NA,NA,NA,602,586,60,1169,NA,NA,NA,NA,682,524,56,1723,2,3,1,13,652,628,38,1993,NA,NA,NA,26,607,756,37,1711,NA,NA,NA,17,579,641,49,1442,NA,NA,NA,19,717,332,66,1833,NA,NA,NA,NA,738,229,57,2240,NA,NA,NA,NA
"Nevada","Reno ","REN","69",56,NA,205,NA,NA,NA,NA,90,116,12,271,NA,NA,NA,NA,88,182,7,362,NA,1,NA,3,80,204,13,376,NA,NA,NA,NA,76,145,12,433,NA,NA,NA,NA,63,166,NA,538,NA,NA,NA,NA,85,326,NA,621,NA,NA,NA,NA,115,330,19,539,NA,NA,NA,NA
"New Hampshire","Manchester ","MAN","104",72,NA,175,NA,NA,NA,NA,93,84,NA,213,NA,NA,NA,NA,97,199,13,261,NA,2,1,NA,114,293,NA,361,NA,NA,NA,NA,85,212,NA,273,NA,NA,NA,11,103,137,NA,313,NA,NA,NA,11,100,121,NA,250,NA,NA,NA,NA,88,120,NA,231,NA,NA,NA,NA
"New Jersey","Mount Laurel","MTL","447",450,46,984,NA,NA,NA,NA,402,606,43,1016,NA,NA,NA,NA,465,542,47,1206,NA,3,4,5,499,1112,53,942,NA,NA,NA,NA,428,665,40,1171,NA,NA,NA,41,462,827,50,1087,NA,16,NA,24,524,814,47,1148,NA,NA,NA,21,532,691,64,1154,NA,NA,NA,20
"New Jersey","Newark ","NEW","2,212",1471,141,4268,NA,25,NA,23,2069,1732,129,4658,NA,NA,15,17,2410,2057,159,5172,2,12,7,16,2148,1886,135,5712,NA,25,NA,70,2244,1638,95,7025,NA,17,31,84,2361,2180,132,7578,NA,32,16,102,2543,2569,149,7995,NA,20,NA,67,2672,2207,147,9057,NA,16,10,129
"New Mexico","Albuquerque ","ABQ","179",83,NA,349,NA,NA,NA,NA,150,205,NA,369,NA,12,NA,NA,182,297,21,315,1,NA,NA,6,192,298,12,252,NA,NA,NA,NA,166,333,NA,208,NA,NA,NA,NA,192,355,NA,366,NA,NA,NA,NA,190,209,NA,413,NA,NA,NA,NA,200,294,12,363,NA,NA,NA,NA
"New York","Albany ","ALB","117",90,NA,302,NA,NA,NA,14,124,153,NA,290,NA,NA,NA,15,104,48,8,373,NA,NA,1,13,123,126,NA,363,NA,NA,NA,11,123,111,NA,338,NA,NA,NA,27,86,140,13,248,NA,NA,NA,26,136,107,NA,291,NA,NA,NA,26,126,58,NA,341,NA,NA,NA,26
"New York","Buffalo ","BUF","196",181,41,537,NA,20,NA,80,189,276,26,590,NA,52,NA,61,193,467,23,709,NA,12,6,73,184,421,85,768,NA,10,NA,103,176,425,62,745,NA,11,50,61,209,524,36,621,NA,11,NA,50,188,387,20,604,NA,10,NA,80,211,366,37,671,NA,26,NA,61
"New York","Long Island","LNY","1,204",627,47,3768,NA,11,NA,144,1130,825,25,3967,NA,NA,NA,186,1369,651,31,4501,2,19,NA,58,1362,679,40,4800,NA,21,NA,81,1373,1168,43,4463,NA,10,NA,195,1383,1211,51,4427,NA,17,NA,181,1517,1190,57,4666,NA,32,NA,188,1531,780,60,5338,NA,19,NA,228
"New York","New York ","NYC","3,864",3137,511,10114,NA,23,10,289,3705,4124,380,9718,NA,40,11,257,4130,3977,578,11657,5,104,8,513,4005,3610,449,11722,NA,66,13,450,3852,4621,434,13913,NA,100,NA,696,3980,5477,512,11936,NA,139,NA,581,4549,4105,492,13433,NA,80,40,605,4429,2570,251,15353,NA,62,NA,698
"New York","Queens","QNS","1,290",565,30,3504,NA,NA,NA,163,1232,698,14,3466,NA,NA,NA,160,1372,300,36,4311,NA,10,1,170,1395,32,31,5380,NA,NA,NA,172,1342,976,29,4760,NA,NA,NA,276,1375,1591,85,4388,NA,35,NA,232,1512,1264,95,4572,NA,54,10,184,1424,842,106,5075,NA,13,15,179
"North Carolina","Charlotte ","CLT","372",341,32,804,NA,NA,NA,NA,411,357,46,795,NA,NA,NA,NA,407,456,31,676,NA,1,NA,3,433,428,29,667,NA,NA,NA,NA,476,467,35,713,NA,NA,NA,13,419,525,38,685,NA,NA,NA,NA,577,474,25,904,NA,NA,NA,NA,534,324,19,1215,NA,NA,NA,NA
"North Carolina","Raleigh","RAL","392",342,30,933,NA,NA,NA,NA,424,469,24,915,NA,NA,NA,NA,442,824,28,998,1,26,1,5,495,647,45,914,NA,20,NA,NA,473,375,15,850,NA,NA,NA,32,505,470,36,825,NA,NA,NA,30,552,520,43,981,NA,16,NA,NA,574,674,32,1024,NA,NA,NA,NA
"Ohio","Cincinnati ","CIN","174",135,10,342,NA,NA,NA,NA,128,159,16,323,NA,NA,NA,10,162,185,16,295,NA,2,NA,5,158,151,17,349,NA,NA,NA,NA,169,195,24,345,NA,NA,NA,NA,160,200,22,312,NA,NA,NA,NA,168,178,11,315,NA,NA,NA,NA,191,187,12,351,NA,12,NA,NA
"Ohio","Cleveland ","CLE","225",222,20,447,NA,NA,NA,NA,176,246,29,415,NA,NA,NA,NA,245,196,30,432,NA,4,NA,3,207,254,19,387,NA,NA,NA,NA,225,217,31,408,NA,NA,NA,NA,256,234,42,417,NA,NA,NA,NA,251,240,25,447,NA,15,NA,NA,231,269,27,457,NA,NA,NA,NA
"Ohio","Columbus","CLM","232",192,24,484,NA,NA,NA,NA,208,245,61,464,NA,NA,NA,10,235,245,45,443,NA,4,5,3,234,316,54,369,NA,NA,NA,NA,233,242,32,382,NA,NA,NA,NA,220,205,46,371,NA,NA,NA,NA,252,189,30,438,NA,NA,NA,NA,238,250,22,453,NA,NA,NA,NA
"Oklahoma","Oklahoma City ","OKC","285",210,23,964,NA,NA,NA,NA,241,234,15,969,NA,NA,NA,NA,268,220,21,933,NA,6,NA,55,304,216,14,1011,NA,18,NA,41,294,356,19,929,NA,NA,NA,34,313,285,26,908,NA,NA,NA,28,371,321,23,939,NA,NA,NA,24,359,190,18,1069,NA,11,NA,19
"Oregon","Portland ","POO","399",315,11,1130,NA,NA,NA,NA,375,367,19,1116,NA,NA,NA,NA,416,426,22,986,NA,4,3,1,375,387,19,845,NA,NA,NA,NA,416,341,25,1003,NA,NA,NA,NA,421,682,34,672,NA,NA,NA,NA,508,335,29,882,NA,NA,NA,NA,460,505,34,823,NA,NA,NA,NA
"Pennsylvania","Philadelphia","PHI","975",762,74,2394,NA,13,NA,11,888,941,126,2405,NA,NA,NA,NA,1001,1319,101,2336,NA,3,NA,3,1055,1337,117,2339,NA,NA,NA,NA,1016,1267,129,2833,NA,31,NA,127,1052,1577,81,2587,NA,138,NA,61,1161,1777,135,3008,NA,52,NA,122,1185,1348,109,3192,NA,72,NA,44
"Pennsylvania","Pittsburgh ","PIT","183",183,NA,410,NA,NA,NA,NA,203,142,14,494,NA,NA,NA,NA,192,147,16,685,NA,2,NA,4,201,118,NA,910,NA,NA,NA,NA,195,386,NA,707,NA,NA,NA,NA,218,296,NA,602,NA,NA,NA,NA,215,331,16,474,NA,NA,NA,NA,216,238,18,482,NA,NA,NA,NA
