USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"142,702","142,278","9,511","292,841","65,302","37,036","5,383","537,609","208,004","179,314","14,894","830,450"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,Providence ,PRO,188,360,23,430, -   , D , D ,14,188,363,26,444
South Carolina,,, , , , , , , , ,,,,
,Charleston ,CHL,259,330,40,698, D , D , D ,18,260,333,42,716
Tennessee,,, , , , , , , , ,,,,
,Memphis ,MEM,434,492,39,"1,091", -   ,11, D ,34,434,503,40,"1,125"
Texas,,, , , , , , , , ,,,,
,Dallas ,DAL,"1,952","1,455",152,"8,072", D , D , D ,279,"1,957","1,458",155,"8,351"
,El Paso ,ELP,547,638,24,913, D , D , -   ,17,548,645,24,930
,Harlingen ,HLG,657,742,30,"1,221", D , D , D ,14,663,751,31,"1,235"
,Houston ,HOU,"2,363",510,107,"7,436", D , D , D ,138,"2,368",518,112,"7,574"
,San Antonio ,SNA,"1,139",859,39,"2,543", D ,17, D ,41,"1,140",876,40,"2,584"
Utah,,, , , , , , , , ,,,,
,Salt Lake City ,SLC,567,652,16,889, D , D , -   ,13,568,655,16,902
Vermont,,, , , , , , , , ,,,,
,St. Albans ,STA,32,116, D ,65, -   , D , -   , -   ,32,117, D ,65
Virginia,,, , , , , , , , ,,,,
,Norfolk ,NOR,337,550,45,811, -   ,21, -   , -   ,337,571,45,811
Washington,,, , , , , , , , ,,,,
,Seattle ,SEA,834,"1,270",65,"1,715", -   , D , D , -   ,834,"1,278",71,"1,715"
,Spokane ,SPO,49,84, D ,110, -   , -   , D , -   ,49,84, D ,110
,Yakima,YAK,106,170, D ,136, -   , D , D , D ,106,171,10,137
Wisconsin,,, , , , , , , , ,,,,
,Milwaukee ,MIL,282,254,16,583, -   , D , D ,18,282,255,17,601
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,
Guam,,, , , , , , , , ,,,,
,Hagatna,AGA,88,180,10,322, -   , -   , -   , D ,88,180,10,324
U.S. Virgin Islands,,, , , , , , , , ,,,,
,Charlotte Amalie,CHA,21,60, D ,36, -   , -   , -   , D ,21,60, D ,37
