,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,
Total,," 131,962 "," 73,718 "," 8,630 "," 352,855 "," 85,713 "," 87,977 "," 4,195 "," 533,080 "," 217,675 "," 161,695 "," 12,825 "," 885,935 ",
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,Buffalo , 441 , 360 , 58 ," 1,225 ", 28 , D , D , 51 , 469 , 362 , 59 ," 1,276 ",
,Long Island," 3,724 "," 1,272 ", 26 ," 10,235 ", 162 , D , -   , 360 ," 3,886 "," 1,274 ", 26 ," 10,595 ",
,New York ," 5,594 "," 3,436 ", 212 ," 27,743 ", 269 , D , D ," 1,825 "," 5,863 "," 3,443 ", 216 ," 29,568 ",
,Queens," 3,887 "," 1,508 ", 44 ," 10,169 ", 327 , D , -   , 648 ," 4,214 "," 1,513 ", 44 ," 10,817 ",
North Carolina,,,,,,,,,,,,,,
,Charlotte ," 1,186 ", 779 , 84 ," 2,675 ", 34 , D , -   , 77 ," 1,220 ", 788 , 84 ," 2,752 ",
,Raleigh," 1,057 ", 969 , 48 ," 2,766 ", 26 , D , -   , 70 ," 1,083 ", 970 , 48 ," 2,836 ",
Ohio,,,,,,,,,,,,,,
,Cincinnati , 435 , 203 , 23 , 960 , 25 , -   , -   , 32 , 460 , 203 , 23 , 992 ,
,Cleveland , 590 , 239 , 28 ," 1,336 ", 23 , D , -   , 44 , 613 , 240 , 28 ," 1,380 ",
,Columbus, 599 , 246 , 57 ," 1,442 ", 24 , -   , -   , 46 , 623 , 246 , 57 ," 1,488 ",
Oklahoma,,,,,,,,,,,,,,
,Oklahoma City , 769 , 334 , 15 ," 1,908 ", 48 , -   , -   , 100 , 817 , 334 , 15 ," 2,008 ",
Oregon,,,,,,,,,,,,,,
,Portland , 953 , 274 , 18 ," 2,505 ", 53 , 10 , D , 112 ," 1,006 ", 284 , 19 ," 2,617 ",
Pennsylvania,,,,,,,,,,,,,,
,Philadelphia," 2,862 "," 1,363 ", 141 ," 7,377 ", 145 , D , -   , 273 ," 3,007 "," 1,370 ", 141 ," 7,650 ",
,Pittsburgh , 421 , 152 , 15 ," 1,006 ", 31 , D , -   , 47 , 452 , 155 , 15 ," 1,053 ",
Rhode Island,,,,,,,,,,,,,,
,Providence , 469 , 330 , 58 ," 1,212 ", 21 , -   , -   , 48 , 490 , 330 , 58 ," 1,260 ",
South Carolina,,,,,,,,,,,,,,
,Charleston , 628 , 320 , 32 ," 1,733 ", 34 , D , -   , 211 , 662 , 322 , 32 ," 1,944 ",
Tennessee,,,,,,,,,,,,,,
,Memphis ," 1,099 ", 933 , 65 ," 3,071 ", 36 , D , D , 93 ," 1,135 ", 936 , 66 ," 3,164 ",
Texas,,,,,,,,,,,,,,
,Dallas ," 4,456 "," 1,821 ", 192 ," 12,246 ", 225 , 12 , -   , 575 ," 4,681 "," 1,833 ", 192 ," 12,821 ",
,El Paso ," 1,242 "," 1,006 ", 32 ," 2,939 ", 31 , D , -   , 99 ," 1,273 "," 1,008 ", 32 ," 3,038 ",
,Harlingen ," 1,075 "," 1,318 ", 62 ," 2,180 ", 42 , 19 , D , 65 ," 1,117 "," 1,337 ", 65 ," 2,245 ",
,Houston ," 4,795 "," 3,011 ", 265 ," 11,007 ", 433 , 88 , D , 948 ," 5,228 "," 3,099 ", 266 ," 11,955 ",
,San Antonio ," 2,530 "," 1,794 ", 103 ," 5,603 ", 142 , 52 , D , 311 ," 2,672 "," 1,846 ", 112 ," 5,914 ",
Utah,,,,,,,,,,,,,,
,Salt Lake City , 897 , 387 , 30 ," 2,137 ", 32 , D , -   , 45 , 929 , 390 , 30 ," 2,182 ",
Vermont,,,,,,,,,,,,,,
,St. Albans , 61 , 333 , D , 213 , D , D , -   , D , 62 , 340 , D , 215 ,
Virginia,,,,,,,,,,,,,,
,Norfolk , 813 , 952 , 51 ," 1,920 ", 41 , D , -   , 80 , 854 , 955 , 51 ," 2,000 ",
Washington,,,,,,,,,,,,,,
,Seattle ," 2,052 ", 826 , 75 ," 4,798 ", 107 , D , -   , 164 ," 2,159 ", 832 , 75 ," 4,962 ",
,Spokane , 123 , 44 , 10 , 238 , D , D , D , D , 127 , 47 , 14 , 243 ,
,Yakima, 282 , 126 , 11 , 810 , D , D , -   , 15 , 290 , 130 , 11 , 825 ,
Wisconsin,,,,,,,,,,,,,,
,Milwaukee , 694 , 375 , 31 ," 1,679 ", 33 , D , D , 53 , 727 , 376 , 32 ," 1,732 ",
,,,,,,,,,,,,,,
Field Office by Territory6,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,
