USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,
,,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative1,All Other Relative1,All Other Relative1,All Other Relative1,Total,Total,Total,Total
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,,
Total,,,"128,127","122,327","8,900","276,935","55,074","74,249","13,569","475,552","183,201","196,576","22,469","752,487"
,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,
,Pittsburgh ,PIT,203,142,14,494, D , D , D , D ,204,143,16,496
Rhode Island,,,,,,,,,,,,,,
,Providence ,PRO,169,187,13,426, -   , D , -   , D ,169,188,13,431
South Carolina,,,,,,,,,,,,,,
,Charleston ,CHL,248,256,23,564, -   , D , -   ,19,248,257,23,583
Tennessee,,,,,,,,,,,,,,
,Memphis ,MEM,395,391,13,"1,079", -   ,23, -   ,34,395,414,13,"1,113"
Texas,,,,,,,,,,,,,,
,Dallas ,DAL,"1,678","1,292",202,"6,532", -   ,13, D ,176,"1,678","1,305",206,"6,708"
,El Paso ,ELP,574,574,25,"1,073", D , D , -   ,32,576,578,25,"1,105"
,Harlingen ,HLG,609,568,27,"1,519", D , D , D ,57,614,574,31,"1,576"
,Houston ,HOU,"2,059","1,691",223,"4,253", D ,32, D ,553,"2,060","1,723",231,"4,806"
,San Antonio ,SNA,"1,053",729,38,"2,622", -   ,24, D ,10,"1,053",753,40,"2,632"
Utah,,,,,,,,,,,,,,
,Salt Lake City ,SLC,464,506,29,"1,016", -   , D , D ,11,464,509,30,"1,027"
Vermont,,,,,,,,,,,,,,
,St. Albans ,STA,42,34, D ,69, -   , -   , -   , -   ,42,34, D ,69
Virginia,,,,,,,,,,,,,,
,Norfolk ,NOR,290,235,24,869, -   , D , -   , D ,290,241,24,870
Washington,,,,,,,,,,,,,,
,Seattle ,SEA,732,554,54,"1,824", D , D , D , D ,733,560,56,"1,827"
,Spokane ,SPO,51,58,14,112, -   , D , D , -   ,51,59,16,112
,Yakima,YAK,76,136, D ,127, D , -   , -   , D ,77,136, D ,134
Wisconsin,,,,,,,,,,,,,,
,Milwaukee ,MIL,250,281,22,558, -   , D , -   , D ,250,285,22,561
Field Office by Territory6,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,
,Hagatna,AGA,78,129, D ,251, D , D , -   , D ,79,130, D ,252
U.S. Virgin Islands,,,,,,,,,,,,,,
,Charlotte Amalie,CHA,21,12, D ,42, -   , -   , -   , D ,21,12, D ,43
,Christiansted ,CHR, D , D , -   ,25, -   , -   , -   , -   , D , D , -   ,25
Puerto Rico,,,,,,,,,,,,,,
,San Juan ,SAJ,87,119,24,229, -   , D , D , D ,87,124,25,233
Service Center,,,,,,,,,,,,,,
,California,WSC,"2,065","2,975",930,"5,047","41,365","66,713","12,025","315,380","43,430","69,688","12,955","320,427"
,Nebraska,NSC,"53,255","49,414","2,274","97,992","1,424","2,205",293,"3,078","54,679","51,619","2,567","101,070"
,Texas,SSC,"11,141","12,743",541,"19,936",266,404,90,609,"11,407","13,147",631,"20,545"
,Vermont,ESC,"12,292","10,762","1,116","19,304","11,944","4,303",996,"152,776","24,236","15,065","2,112","172,080"
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,,
'- Represents zero,,,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences.",,,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,,
               2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), March 2015",,,,,,,,,,,,,,
