,,,,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,,Petitions by Category of Relatives and Case Status,,,,,,,,,,,,
,,,Immediate Relative1,,,,All Other Relative1,,,,Total,,,,
,,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,
 ,,,,,,,,,,,,,,,
Total,,," 163,729 "," 143,909 "," 9,699 "," 312,443 "," 74,639 "," 33,292 "," 5,098 "," 577,951 "," 238,368 "," 177,201 "," 14,797 "," 890,394 ",
,,,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,,,
,Pittsburgh ,PIT, 215 , 331 , 16 , 474 , -   , D , -   , D , 215 , 332 , 16 , 477 ,
Rhode Island,,, , , , , , , , ,,,,,
,Providence ,PRO, 196 , 364 , 24 , 444 , -   , D , D , 12 , 196 , 370 , 26 , 456 ,
South Carolina,,, , , , , , , , ,,,,,
,Charleston ,CHL, 286 , 221 , 30 , 695 , D , -   , D , 11 , 287 , 221 , 37 , 706 ,
Tennessee,,, , , , , , , , ,,,,,
,Memphis ,MEM, 542 , 452 , 17 ," 1,287 ", D , D , -   , 49 , 543 , 457 , 17 ," 1,336 ",
Texas,,, , , , , , , , ,,,,,
,Dallas ,DAL," 2,445 "," 2,200 ", 216 ," 8,038 ", D , D , D , 273 ," 2,449 "," 2,209 ", 217 ," 8,311 ",
,El Paso ,ELP, 700 , 431 , 30 ," 1,330 ", D , D , -   , 28 , 703 , 435 , 30 ," 1,358 ",
,Harlingen ,HLG, 798 , 548 , 28 ," 1,631 ", D , 11 , D , D , 802 , 559 , 29 ," 1,639 ",
,Houston ,HOU," 2,632 "," 1,541 ", 182 ," 8,163 ", D , 34 , D , 146 ," 2,637 "," 1,575 ", 186 ," 8,309 ",
,San Antonio ,SNA," 1,346 ", 942 , 38 ," 2,895 ", D , 15 , D , 40 ," 1,347 ", 957 , 39 ," 2,935 ",
Utah,,, , , , , , , , ,,,,,
,Salt Lake City ,SLC, 559 , 454 , 21 ," 1,082 ", D , D , D , 19 , 560 , 455 , 22 ," 1,101 ",
Vermont,,, , , , , , , , ,,,,,
,St. Albans ,STA, 54 , 73 , D , 80 , -   , -   , -   , -   , 54 , 73 , D , 80 ,
Virginia,,, , , , , , , , ,,,,,
,Norfolk ,NOR, 360 , 292 , 23 ," 1,031 ", D , D , D , 25 , 361 , 295 , 24 ," 1,056 ",
Washington,,, , , , , , , , ,,,,,
,Seattle ,SEA, 968 , 776 , 47 ," 1,862 ", -   , D , -   , -   , 968 , 780 , 47 ," 1,862 ",
,Spokane ,SPO, 50 , 76 , D , 96 , -   , D , -   , -   , 50 , 77 , D , 96 ,
,Yakima,YAK, 134 , 84 , D , 170 , -   , D , -   , D , 134 , 89 , D , 171 ,
Wisconsin,,, , , , , , , , ,,,,,
,Milwaukee ,MIL, 270 , 205 , 22 , 660 , D , D , -   , 26 , 272 , 207 , 22 , 686 ,
Field Office by Territory6,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,
Guam,,, , , , , , , , ,,,,,
,Hagatna,AGA, 99 , 184 , D , 350 , D , -   , -   , D , 101 , 184 , D , 354 ,
U.S. Virgin Islands,,, , , , , , , , ,,,,,
,Charlotte Amalie,CHA, 20 , 22 , D , 44 , -   , -   , -   , D , 20 , 22 , D , 45 ,
,Christiansted ,CHR, D , D , -   , 39 , -   , -   , -   , D , D , D , -   , 41 ,
Puerto Rico,,, , , , , , , , ,,,,,
,San Juan ,SAJ, 119 , 92 , D , 366 , D , -   , -   , 13 , 120 , 92 , D , 379 ,
Service Center,,,   ,   ,   ,   ,   ,   ,   ,   ,,,,,
,California,WSC, 634 ," 4,198 ", 920 ," 7,241 "," 72,393 "," 29,518 "," 3,929 "," 429,812 "," 73,027 "," 33,716 "," 4,849 "," 437,053 ",
,Nebraska,NSC," 68,732 "," 44,690 "," 2,710 "," 105,834 "," 1,426 "," 1,373 ", 244 ," 2,905 "," 70,158 "," 46,063 "," 2,954 "," 108,739 ",
,Texas,SSC," 15,924 "," 15,067 ", 392 ," 12,549 ", 388 , 410 , 61 , 372 ," 16,312 "," 15,477 ", 453 ," 12,921 ",
,Vermont,ESC, -   , 579 , 702 ," 6,432 ", D , 526 , 667 ," 140,312 ", D ," 1,105 "," 1,369 "," 146,744 ",
,Potomac,YSC," 13,354 "," 25,072 ", 436 ," 20,678 ", 316 , 553 , 29 , 556 ," 13,670 "," 25,625 ", 465 ," 21,234 ",
International Field Office by Country,,,,,,,,,,,,,,,
China,,, , , , , , , , ,,,,,
,Beijing,BEI,67,73, -   ,28,N/A,N/A,N/A,N/A,67,73, -   ,28,
,Guangzhou,GZH,77,78, -   ,34,N/A,N/A,N/A,N/A,77,78, -   ,34,
Cuba,,, , , , , , , , , , , , ,
,Havana,HAV, D , D , -   , - ,N/A,N/A,N/A,N/A, D , D , -   , - ,
Dominican Republic,,, , , , , , , , , , , , ,
,Santo Domingo,SDM,66,187, D , D ,N/A,N/A,N/A,N/A,66,187, D , D ,
El Salvador,,, , , , , , , , , , , , ,
,San Salvador,SNS,17,19, D ,11,N/A,N/A,N/A,N/A,17,19, D ,11,
Germany,,, , , , , , , , , , , , ,
,Frankfurt,FKG,242,243,26,61,N/A,N/A,N/A,N/A,242,243,26,61,
Ghana,,, , , , , , , , , , , , ,
,Accra,ACG, D , D , - , D ,N/A,N/A,N/A,N/A, D , D , - , D ,
Greece,,, , , , , , , , , , , , ,
,Athens,ATH,55,56, - ,18,N/A,N/A,N/A,N/A,55,56, - ,18,
Guatemala,,, , , , , , , , , , , , ,
,Guatemala City,GTM,47,27, -   ,26,N/A,N/A,N/A,N/A,47,27, -   ,26,
Haiti,,, , , , , , , , , , , , ,
