"Number of I-130 Alien Relative Petitions by Category of Relatives, Case Status, and USCIS Field Office or Service Center Location  ",,,,,,,,,,,,,
"April 1- June 30, 2014",,,,,,,,,,,,,
USCIS Field Office or Service Center Location,,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status,Petitions by Category of Relatives and Case Status
,,Immediate Relative1,Immediate Relative1,Immediate Relative1,Immediate Relative1,All Other Relative1,All Other Relative1,All Other Relative1,All Other Relative1,Total,Total,Total,Total
,,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5,Petitions Received2,Approved3,Denied4,Pending5
 ,,,,,,,,,,,,,
Total,,"144,077","150,412","11,845","298,216","70,632","59,547","7,501","532,679","214,709","209,959","19,346","830,895"
,,,,,,,,,,,,,
Field Office by State6,,,,,,,,,,,,,
,Philadelphia,947,924,81,"2,018", -   ,11, -   ,12,947,935,81,"2,030"
,Pittsburgh ,208,135,17,352, -   , D , -   , D ,208,139,17,355
Rhode Island,,,,,,,,,,,,,
,Providence ,176,172,27,288, -   , D , -   , D ,176,174,27,289
South Carolina,,,,,,,,,,,,,
,Charleston ,252,271,30,422, -   , D , D , D ,252,276,34,426
Tennessee,,,,,,,,,,,,,
,Memphis ,395,385,30,756, D ,15, -   ,12,396,400,30,768
Texas,,,,,,,,,,,,,
,Dallas ,"1,757","1,616",141,"4,808", D ,24, D ,238,"1,761","1,640",147,"5,046"
,El Paso ,666,480,25,832, D , D , D ,42,668,488,26,874
,Harlingen ,685,555,35,"1,026", D ,15, D , D ,690,570,38,"1,033"
,Houston ,"2,065","1,838",158,"3,423", -   ,46, D ,463,"2,065","1,884",162,"3,886"
,San Antonio ,"1,179","1,319",41,"1,748", D ,39, D ,31,"1,184","1,358",43,"1,779"
Utah,,,,,,,,,,,,,
,Salt Lake City ,442,383,24,990, D ,12, D ,22,443,395,25,"1,012"
Vermont,,,,,,,,,,,,,
,St. Albans ,23,63, D ,135, -   , -   , -   , -   ,23,63, D ,135
Virginia,,,,,,,,,,,,,
,Norfolk ,304,295,34,531, -   , D , -   , -   ,304,296,34,531
Washington,,,,,,,,,,,,,
,Seattle ,710,420,37,"1,436", -   , D , -   , D ,710,426,37,"1,441"
,Spokane ,41,59, D ,59, -   , -   , -   , -   ,41,59, D ,59
,Yakima,76,203,10,98, -   , D , D , D ,76,207,12,100
Wisconsin,,,,,,,,,,,,,
,Milwaukee ,262,315,34,540, D , D , -   ,13,263,321,34,553
Field Office by Territory6,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,
,Hagatna,97,119,12,171, -   , -   , -   , D ,97,119,12,172
U.S. Virgin Islands,,,,,,,,,,,,,
,Charlotte Amalie,18,17, D ,35, -   , -   , D , D ,18,17, D ,36
,Christiansted , D , D , -   ,24, -   , -   , -   , -   , D , D , -   ,24
Puerto Rico,,,,,,,,,,,,,
,San Juan ,117,189,55,187, -   , -   , D ,46,117,189,57,233
Service Center,,,,,,,,,,,,,
,California,"2,245","12,850","3,044","6,655","54,094","49,439","4,242","374,442","56,339","62,289","7,286","381,097"
,Nebraska,"62,686","49,570","1,840","127,601","2,013","2,532",430,"4,985","64,699","52,102","2,270","132,586"
,Texas,"13,097","23,844","1,179","23,756",396,"1,082",153,831,"13,493","24,926","1,332","24,587"
,Vermont,"13,836","14,699","1,324","30,130","14,055","5,418","2,511","149,042","27,891","20,117","3,835","179,172"
,,,,,,,,,,,,,
D  Data withheld to protect applicants' privacy.,,,,,,,,,,,,,
"""-"" Represents zero",,,,,,,,,,,,,
"1 ""Immediate Relatives"" refers to petitions to sponsor Immediate Relatives of U.S. citizens. ""All Other Relatives"" refers to petitions to sponsor relatives under Family-based Preferences.",,,,,,,,,,,,,
2  The number of new applications received and entered into a case-tracking system during the reporting period.,,,,,,,,,,,,,
3  The number of applications approved during the reporting period.,,,,,,,,,,,,,
"4  The number of applications that were denied, terminated, or withdrawn during the reporting period.",,,,,,,,,,,,,
5  The number of applications awaiting a decision as of the end of the reporting period.,,,,,,,,,,,,,
6  Represents the office location. The office location does not reflect the complete area covered by the office’s jurisdiction. Please refer to USCIS.gov for office jurisdictions.,,,,,,,,,,,,,
"NOTE:  1) Some applications approved, denied, or pending a decision may have been received in prior reporting periods. ",,,,,,,,,,,,,
               2) The report reflects the most up-to-date estimate available at the time the report is generated.,,,,,,,,,,,,,
"Source:  Department of Homeland Security, U.S. Citizenship and Immigration Services, Performance Analysis System (PAS), July 2014",,,,,,,,,,,,,
